,datetime,source,url,title,content
0,日期： 2019-04-12,phi.ruc.edu.cn,http://phi.ruc.edu.cn/Index/news_cont/id/5591.html,中国人民大学哲学院2019年博士生招生考试复试办法及复试名单,
1,日期： 2014-04-22,phi.ruc.edu.cn,http://phi.ruc.edu.cn/Index/news_cont/id/4248.html,认知训练能改善大脑功能吗？,
2,日期： 2015-08-13,phi.ruc.edu.cn,http://phi.ruc.edu.cn/Index/news_cont/id/3554.html,《哲学家》2016年专辑征稿启事,《海德格尔：东方、西方，当今、未来——纪念海德格尔逝世40周年》
3,日期： 2016-05-26,phi.ruc.edu.cn,http://phi.ruc.edu.cn/Index/news_cont/id/3597.html,关于哲学院2016-2017学年秋季学期牛津大学国际交流项目申请的通知,"2016秋季学期项目是中国人民大学哲学院与多所世界知名大学哲学院（系）之间开展的优秀学生国际交流项目。参加项目的学生可到对方学校哲学院进行短期访学交流。




项目A：面向PPE学生开放申请赴英国访学项目，共有6个名额。将于2016年秋季学期赴英国牛津大学、华威大学和曼彻斯特大学访学，参与包括听课、与当地PPE学生和教师交流等方面的活动，时间为一周左右，具体日期待定。


项目B： 面向哲学院全日制在读硕士研究生开放2016年欧洲-亚洲暑期学校项目，共有3个名额。将赴英国牛津大学参加2016年欧洲-亚洲暑期学校项目，具体时间为2016年9月1日-6日。


请感兴趣的同学积极申请！具体内容见下：


一、申请资格： 


1. 基本要求


①  具有中国国籍，热爱社会主义祖国，具有良好的政治和专业素质，身心健康，无违法违纪记录；


②  申请时应为中国人民大学哲学院全日制正式在册本科生或硕士研究生。


③ 本项目选派范围暂不包括正在境外学习、工作的人员。


2. 初选标准：


①  GPA 成绩占总选拔成绩的40%（满分4.0）；


②  “英语成绩（四六级、雅思、托福）占总选拔成绩的30%；


③  初选通过后，学院会组织面试，面试占总选拔成绩的30%。


二、名额限制：项目A有6个名额，项目B有3个名额，具体见上。


三、项目费用：


1. 哲学院资助一次往返国际旅费、在外住宿费、部分在外伙食费，资助标准及方式按照国家和学校有关规定执行。


2. 在对方高校学习期间的人身保险及医疗保险费用需要自付。


四、项目时间： 2016学年的秋季学期，时间为一周左右


五、申请材料及申请方式：


1. 外语水平证明材料


2. 成绩单（可从学生管理信息系统自行下载电子版）


3. 附件： 申请表


请将以上材料电子版，发至邮箱rendazhexueyuan@163.com，邮件题目请标注“2016 秋季学期项目 + 项目A/B + 姓名”。


六、截止时间：2016年6月6日（星期一）上午11:00 


注意事项：


1）以邮件方式发送申请至rendazhexueyuan@163.com，收到该邮箱的确认信息为成功提交项目申请；
 
分享："
4,日期： 2010-09-10,phi.ruc.edu.cn,http://phi.ruc.edu.cn/Index/news_cont/id/3689.html,学校召开教师节表彰大会 哲学院三名教师受表彰,"作者：陈骊骊 学生记者 周乐婧




       9月 10日，中国人民大学师生迎来了一个非同寻常的教师节，此前一天，胡锦涛总书记专程前来学校考察，代表党中央、国务院向全体师生员工致以节日的问候。教师节当天，学校在逸夫会堂召开大会表彰先进，同时发出在全校掀起学习贯彻胡锦涛总书记重要讲话精神的号召。
　　校领导纪宝成、程天权、袁卫、牛维麟、冯惠玲、马俊杰、陈一兵、薜浣白出席大会，获奖教师、从教30年教职工代表，全体中层干部及部分师生代表参加了会议。
全体与会人员首先共同观看了9月9日《新闻联播》播发的专题新闻，纪宝成校长传达了胡锦涛总书记在学校考察时的重要讲话精神并介绍了考察活动盛况。

　　纪宝成校长在大会讲话中向全体教职员工致以节日祝福，向受到表彰的教师表示祝贺。他谈到，胡锦涛总书记在考察活动的几个场合都强调了“中国人民大学是我们党亲手创办的第一所新型大学，为国家培养了大批优秀人才，取得了一系列重大科研成果，为党和国家建设做出了重要贡献！”这是对学校办学成绩的极高评价，对学校广大师生员工的褒奖，对学校坚持“立学为民，治学报国”精神的极大鼓舞。中国人民大学由此站在一个新的历史起点上，满怀信心地开始新的征程。纪宝成校长表示，胡锦涛总书记在讲话中特别强调，希望人民大学能秉承“立学为民、治学报国”的精神，把学校建设成为“人民满意、世界一流”大学，对学校在新世纪以来提出的办学目标给予肯定并提出期望和要求，这表明学校未来发展空间更大了，奋斗目标更清晰了，发展前途更光明了，我们要以二次创业的雄心，来促进学校各项工作的新的历史性的发展。
　　纪宝成校长向全体教师提出三点希望：更多关注教学，为学校人才培养再立新功；更多关注基础研究，为科学研究出传世之作；更多关注国际学术研究趋势，为学校提升国际性作出新贡献。他特别强调，这三个努力方向就是人民大学在教学与研究方面贯彻落实总书记讲话精神的具体体现。
　　纪宝成校长最后号召全体师生员工一定不负中央和总书记的期望，在新的历史起点上继续深入学习实践科学发展观，贯彻落实全教会精神，沿着“立学为民、治学报国”的精神发展下去，以总书记视察为契机，以“人民满意”为价值取向，以“世界一流”为办学导向，以良好的精神面貌推动教学、科研工作，回报以胡锦涛同志为总书记的党中央的亲切关怀和殷切希望，为建设小康社会、为建设人力资源强国、高等教育强国作出应有的贡献！

　　会上，程天权书记宣读了《中共中国人民大学委员会关于认真学习贯彻胡锦涛总书记考察我校重要讲话精神的决定》，要求全校党员干部和师生员工，深入学习领会胡锦涛总书记重要讲话精神，进一步增强创建“人民满意、世界一流”大学的责任感、使命感和光荣感；全方位、多渠道宣传胡锦涛总书记重要讲话精神，为“十年腾飞”营造良好氛围；以学习胡锦涛总书记重要讲话精神为契机，以改革创新精神扎实推进创建“人民满意、世界一流”大学的历史进程；要求各单位认真制定学习、宣传和贯彻胡锦涛总书记重要讲话精神的方案和措施，及时报告工作进展、成果和经验。



　　袁卫常务副校长主持大会并宣布获得2010年国家级优秀教学团队、第六届北京市级教学名师奖获奖名单，以及向李秋零教授颁发校长特别奖的决定；牛维麟常务副书记宣布获得2010年北京市师德标兵、师德先进个人和2009年宝钢优秀教师奖获奖名单；马俊杰副书记宣布获得2010年中国人民大学“十大教学标兵”和从事教育工作30年教职工名单。与会校领导为获奖教师及团队代表颁发荣誉证书。

会上共计颁发了11个奖项，表彰了138个团队和个人。文学院程光炜教授代表获奖教师发言时表示，将不负荣誉，继续努力奋斗在教学一线，培养出更多优秀人才。"
5,日期： 2017-11-14,phi.ruc.edu.cn,http://phi.ruc.edu.cn/Index/news_cont/id/5062.html,沉痛悼念李淮春教授,唁电
6,日期： 2015-10-03,phi.ruc.edu.cn,http://phi.ruc.edu.cn/Index/news_cont/id/1043.html,我院91级和85级本科校友荣归母校,
7,日期： 2010-02-24,phi.ruc.edu.cn,http://phi.ruc.edu.cn/Index/news_cont/id/3208.html,哲学院校友会筹备成立公告,
8,日期： 2018-06-05,phi.ruc.edu.cn,http://phi.ruc.edu.cn/Index/news_cont/id/5239.html,第二十五届人大马哲论坛《直面环境危机——在马克思的视野中》,NULL
9,日期： 2018-03-20,phi.ruc.edu.cn,http://phi.ruc.edu.cn/Index/news_cont/id/5157.html,关于申请、审核2017－2018学年第2学期研究生助教岗位的通知,转发研究生院关于申请、审核2017－2018学年第二学期学术型研究生助教岗位的通知（见下）。申请研究生助教岗位者，请在3月29日（周四）中午十二点之前将《中国人民大学研究生助教岗位设立审批表》和《中国人民大学研究生助教岗位申请表》（须本人签字、导师意见、主讲教师意见）交至人文楼521室刘老师。
