datetime,source,url,title,content
2020-08-06,phi.ruc.edu.cn,http://phi.ruc.edu.cn/Index/news_cont/id/6107.html,中国人民大学哲学院师生参加全国政协民宗委召开的宗教界主题协商座谈会,近日，全国政协民族和宗教委员会在北京召开宗教界主题协商座谈会，围绕“加强我国宗教人才培养”座谈交流。中共中央政治局常委、全国政协主席汪洋出席会议并讲话。
2020-08-02,phi.ruc.edu.cn,http://phi.ruc.edu.cn/Index/news_cont/id/6106.html,中国人民大学哲学院 “全国优秀大学生哲学夏令营2020”优胜者名单,
2020-08-01,phi.ruc.edu.cn,http://phi.ruc.edu.cn/Index/news_cont/id/6105.html,“哲学的殿堂——中国人民大学哲学名家讲座系列”第一季成功举办,
2020-07-31,phi.ruc.edu.cn,http://phi.ruc.edu.cn/Index/news_cont/id/6104.html,中国人民大学哲学院2020年面向港澳台研究生招生考核复试成绩公示,
2020-07-30,phi.ruc.edu.cn,http://phi.ruc.edu.cn/Index/news_cont/id/6102.html,“哲学的殿堂——中国人民大学哲学名家讲座系列”第一季举办,哲学是时代精神的精华，是被把握在思想中的时代。为纪念中国人民大学命名组建70周年，自2020年7月下旬起，中国人民大学哲学院推出了“哲学的殿堂——中国人民大学哲学名家讲座系列”。讲座采取在线直播形式，邀请素为学界景仰的哲学名家，聚焦哲学前沿问题进行专题探讨，并以腾讯会议在线直播、B站转播等方式向社会开放。
2020-07-29,phi.ruc.edu.cn,http://phi.ruc.edu.cn/Index/news_cont/id/6103.html,中国人民大学哲学院“全国优秀大学生夏令营•2020”成功举办,2020年7月20—25日，中国人民大学哲学院“全国优秀大学生夏令营·2020”成功举办。经过严格筛选，来自北京大学、中国人民大学、北京师范大学、武汉大学、中山大学、南开大学、山东大学、吉林大学、四川大学等30所重点高校近百名优秀大学生入营。本届哲学夏令营包括开营式、专业介绍与交流、系列讲座、专业笔试面试考核、闭营式等环节。优秀营员可被优先推荐至我院攻读哲学硕士学位。
2020-07-25,phi.ruc.edu.cn,http://phi.ruc.edu.cn/Index/news_cont/id/6100.html,中国人民大学PPE实验班，等你来,您的浏览器不支持视频播放，请更换浏览器。
2020-07-19,phi.ruc.edu.cn,http://phi.ruc.edu.cn/Index/news_cont/id/6099.html,张立文：不离不杂论的中国哲学元理义蕴（上）,摘要：中国哲学理论思维的理性力量，在其掌握唯变所适的魅力，科学依靠理性之光而照亮客体，和合学依靠“万物本吾一体”的联通之光而智能网络世界。世界虽千变万化，但都寓于不离不杂之中。人们仰望太空，俯察大地，发现天地万物不动即静，即静即动，动静不离不杂。体现为智动仁静，静能制动，静闭动开，动静相召，动静互根。就物来看，动静相离不杂；就神妙看，动而无动，静而无静，神妙万物，动静非外力所致。天地万物无时无刻不在变化之中。在中国哲学理论思维中“变”为顿变、突变，相当于质变；“化”为渐化，不显著细微的化，相当于量变。体现为变质化量，变通化成。渐化的裁断，由量变转化为质变。自然、社会、人生都处在质与量、变与化的流动之中。自然、社会、人生的发展变化都具有内在逻辑规则性，相当于理；由人类社会内在矛盾、冲突所形成和推进的社会历史发展变化的趋势，便是所谓势。体现为理固势常，理势相因，顺势合理，理是势之理，势是理之势，理势互相絪缊，互为动因。社会历史发展的必然之理与必然之势，一旦约定俗成，形成各种形式的规范、规定，便具有一定的常规性、经常性、原则性，这便是所谓经；但随社会不断发展变化，原有规范、规定亦随之而变化，这便是权的变动性、变通性、灵活性。体现为权反于经，阴权阳经，经常权变，经权合一，动静、变化、理势、经权在社会历史发展中均依不离不杂之理而不例外。
2020-07-19,phi.ruc.edu.cn,http://phi.ruc.edu.cn/Index/news_cont/id/6098.html,张立文：不离不杂论的中国哲学元理义蕴（下）,摘要：中国哲学理论思维的理性力量，在其掌握唯变所适的魅力，科学依靠理性之光而照亮客体，和合学依靠“万物本吾一体”的联通之光而智能网络世界。世界虽千变万化，但都寓于不离不杂之中。人们仰望太空，俯察大地，发现天地万物不动即静，即静即动，动静不离不杂。体现为智动仁静，静能制动，静闭动开，动静相召，动静互根。就物来看，动静相离不杂；就神妙看，动而无动，静而无静，神妙万物，动静非外力所致。天地万物无时无刻不在变化之中。在中国哲学理论思维中“变”为顿变、突变，相当于质变；“化”为渐化，不显著细微的化，相当于量变。体现为变质化量，变通化成。渐化的裁断，由量变转化为质变。自然、社会、人生都处在质与量、变与化的流动之中。自然、社会、人生的发展变化都具有内在逻辑规则性，相当于理；由人类社会内在矛盾、冲突所形成和推进的社会历史发展变化的趋势，便是所谓势。体现为理固势常，理势相因，顺势合理，理是势之理，势是理之势，理势互相絪缊，互为动因。社会历史发展的必然之理与必然之势，一旦约定俗成，形成各种形式的规范、规定，便具有一定的常规性、经常性、原则性，这便是所谓经；但随社会不断发展变化，原有规范、规定亦随之而变化，这便是权的变动性、变通性、灵活性。体现为权反于经，阴权阳经，经常权变，经权合一。动静、变化、理势、经权在社会历史发展中均依不离不杂之理而不例外。
2020-07-18,phi.ruc.edu.cn,http://phi.ruc.edu.cn/Index/news_cont/id/6097.html,学校党委副书记、纪委书记吴付来教授到哲学院毕业生宿舍查看行李收整情况,
2020-07-17,phi.ruc.edu.cn,http://phi.ruc.edu.cn/Index/news_cont/id/6095.html,征稿| 2020·第一届“人北清师”四校哲学研究生学术论坛,
2020-07-17,phi.ruc.edu.cn,http://phi.ruc.edu.cn/Index/news_cont/id/6094.html,肖群忠：朱光潜伦理思想析论,
2020-07-17,phi.ruc.edu.cn,http://phi.ruc.edu.cn/Index/news_cont/id/6092.html,预告 | 哲学的殿堂——中国人民大学哲学名家讲座系列,
2020-07-17,phi.ruc.edu.cn,http://phi.ruc.edu.cn/Index/news_cont/id/6093.html,张文喜：对《资本论》进行哲学阅读的困难和门槛,对《资本论》进行哲学阅读的困难和门槛
