,datetime,source,url,title,content
149,2020/8/1,stat.ruc.edu.cn,http://stat.ruc.edu.cn/displaynews.php?id=5595,统计学院圆满完成2020届毕业生行李收整工作,为贯彻落实疫情期间学校毕业生工作的有关要求，稳步推进2020届毕业生离校工作，切实维护学生权益，统计学院于6月底正式启动毕业生行李收整工作。在学院领导部署、教师全员参与、学生积极配合下，截至7月31日，269名应退宿学生全部完成行李整理与宿舍清退。至此，统计学院2020届毕业生行李收整工作圆满结束。 在深入学习学校工作会议精神的基础上，统计学院秉持“分类管理、一人一策”的工作原则，按行李处置意愿将2020届毕业生划分为委托学院、委托同学、自行返校三大类，并详细了解每位学生的个人情况与特殊需求，汇总制定工作清单，为行李收整工作建立充分保障。 自7月2日起，学院全面开展毕业生行李代收整工作。在近三周的时间内，学院为共计一百名学生进行行李打包与寄存寄送，整理物品一千余箱。7月13日，中国人民大学副校长杜鹏、党委学生工作部部长罗建晖、后勤集团总经理宋大我等学校领导和职能部门负责人亲临品园六楼学生宿舍，指导毕业生行李整理工作，慰问在场师生志愿者。院长王晓军、党委书记孟生旺、党委副书记郭栋、副院长尹建鑫、李扬、李静萍等带头参与，多次到学生宿舍亲手打包行李。在学校、学院领导的带动下，全院教职工、在校学生志愿者积极响应，主动参与到行李打包的队伍中来，推动学院行李代收整工作提前、超额完成。 师生志愿者克服天气炎热、身体不适、本职工作繁重等困难，秉持高度的责任意识，采取耐心的工作态度，运用科学的工作方法，连续多日奋战在行李工作一线。志愿者与每位毕业生提前做好沟通，充分了解学生的个性化诉求。在打包过程中，志愿者与毕业生进行视频连线，逐个完成物品查找、收纳、装箱等环节。通过初期实践，师生志愿者逐渐总结出了“先书籍后衣物、先桌面后抽屉、先个人区域后公共区域”的整理顺序，显著提高了工作效率。志愿者注意对各类物品进行分类处理：电子产品、证件、现金等贵重物品装入皮包或文件夹，贴身衣物用塑料袋单独打包，玻璃、陶瓷等易碎品用胶带、被褥裹好，鞋子尽量先放入鞋盒再装进纸箱……志愿者们细致耐心的工作态度得到了委托学生的一致认可与感谢。打包结束后，志愿者为每个箱子写好姓名与编号，方便行李邮寄与接收。 统计学院与在京学生进行逐个沟通联络，了解每位学生的返校意愿，做好资格审查，保障在京学生安全有序返校。学院主动为返校学生提供核酸检测报销规范、寄存点开放时间、校园摆渡车预约方式等信息，开具打包函、委托书、寄存介绍信等文件，帮助学生顺利完成行李打包与寄存寄送。 面对突如其来的疫情形势变化，统计学院全体师生同心协力、积极应对，圆满完成了毕业生行李收整任务。“纵有千古，横有八荒；前途似海，来日方长。”在这个特殊的毕业季，祝愿全体统计学子不忘初心、坚守己任，阔步走上人生新征程！
1290,2020/7/25,stat.ruc.edu.cn,http://stat.ruc.edu.cn/displaynews.php?id=5596,“统计大讲堂”系列讲座第一百二十六讲顺利举行,7月18日上午，“统计大讲堂”第一百二十六讲——“青椒说”系列讲座第七期顺利举行。讲座以“从就业视角看经济社会统计实证研究”为主题，由统计学院副教授甄峰主讲。此次讲座为线上讲座，师生通过腾讯会议参与研讨。统计学院教授李静萍主持本次讲座。讲座围绕统计学的核心问题和思维方式，就经济社会统计研究解决实际问题进行案例介绍，以期为大家选择研究生学习和进入职场提供思路。  李静萍首先介绍了主讲人的相关信息。甄峰是中国人民大学经济学学士、博士，中国人民大学统计学院副教授，经济社会统计系主任，国际统计学会当选会员。曾任津巴布韦大学经济系高级讲师，中国银行和中国社会科学院博士后，中央财经大学讲师。  甄峰首先指出，在开放的大数据时代，大家应该借助专业的网站与软件建立起规范标准的知识体系。随后，他简要介绍了统计学研究问题的一般流程及常见的统计方法和统计软件，并以“参加工作后的男性和女性是否平等”这一问题为例对研究问题中的重要部分进行分析介绍。他强调，统计学是一门工具性的学科，掌握方法和工具固然不可忽视，但思考与分析才是重中之重。  接下来，甄峰通过多个案例重点讲解了如何应用统计方法解决现实问题。他分别讲解了四个研究问题中的方法与思路：“十四五”时期国家发展的主要目标指标研究中的GDP的预测和估算及PCT专利的预测模型；高校教师流动原因分析中的数据清理和模型设计思路及通过描述统计进行的可视化分析；专利与工业企业效益关系研究中的数据整合检验与深度研究流程；两种反倾销检验方法的理论背景与检验分析以及更换不同检验方法的现实意义。四个案例分别涉及国家整体规划、人力资源统计、企业活动与产业活动统计、国际政治格局下的统计学实践，体现了统计学广泛的适用性。  最后，他指出，身为统计专业的研究人员，首先要做好基础的统计工作，要有快速阅读和处理文献的能力，具备数据整理、数据处理和发现规律的能力，以及必备的写作能力和沟通能力。除此之外，也要注重统计学所培养的基本素养，理解统计学所面临的根本问题是不确定性问题，核心思维则是合理恰当的分类和从方差入手的分析，还应理解公式和结论的统计学含义，以达到把统计学中的数据与模型转化为实际的研究问题及结论的效果。在报告的结尾，他赠予同学们一句寄语：“Whereisthewisdomwehavelostinknowledge?Whereistheknowledgewehavelostininformation?”，以鼓励同学们在学习和研究中坚持最原始的智慧与真实，不要迷失本心。  在交流探讨环节中，李静萍对于甄峰的报告做出了简要的评价与总结，她指出，甄峰用丰富翔实的案例分析分享了如何在实际的工作与研究中体现统计思维和统计方法。在场师生亦积极参与互动。甄峰给出了许多有关培养统计素养和基础能力的建议，以帮助让大家在未来的统计工作中游刃有余。  通过甄峰深入浅出的讲解，大家对于经济社会统计的实证研究有了更深层次的理解与体会。此后统计大讲堂——“青椒说”专题系列讲座还将陆续推出多场精彩讲座，敬请关注。
786,2020/7/24,stat.ruc.edu.cn,http://stat.ruc.edu.cn/displaynews.php?id=5597,“统计大讲堂”系列讲座第一百二十五讲顺利举行,7月18日上午，“统计大讲堂”第一百二十五讲——“青椒说”系列讲座第六期顺利举行。讲座以“Biomarker-guidedheterogeneityanalysisofgeneticregulationsviamultivariatesparsefusion”为主题，由统计学院副教授孙怡帆主讲。此次讲座为线上讲座，师生通过腾讯会议参与研讨。统计学院教授李扬主持本次讲座。本次讲座正值年度优秀大学生夏令营之际，讲座内容不仅开阔了同学们的视野，更帮助拓展了同学们未来的研究方向。  李扬首先介绍了主讲人的相关信息。孙怡帆是中国人民大学统计学院副教授、博士生导师、数理统计系系主任、全国工业统计学教学研究会第九届理事会理事，主要研究方向为复杂数据分析、网络分析、最优化方法等，在StatisticsinMedicine、统计研究等学术期刊发表论文20余篇，主持国家和省部级等项目6项。  孙怡帆首先介绍了当下吸引众多关注的一个问题——复杂疾病如癌症、糖尿病、老年痴呆症的异质性，说明了她及其合作团队的研究动机。随后，她从一个关于乳腺癌不同基因表达的研究案例出发，指出异质性的定义已经由外在特征发展到了分子水平，并阐释了传统研究工作常运用的无监督学习层次聚类方法。她与团队在本次研究中注重视角的变换，即研究视角从单一的基因数据转变为探究基因的调控模式以及影响基因表达值高低的因素之间的联系。  孙怡帆表示，此课题的关键在于建立多个高维因变量与多个高维自变量之间回归模型。本次研究的目标是通过数据驱动的方法找到不同的亚组以及对应的基因调控模式。她指出，传统工作主要依靠医学上的研究范式，人为主观地将人群分为不同亚组，该方法虽然在医学上合理，但受先验知识的限制，难以得出良好的分组结果或解释不同组之间的差异。而她与团队的研究工作依靠病人的身体数据、临床特征以及CNV基因矩阵，优化传统的回归模型以及分类方法。  孙怡帆简要介绍了其研究过程，包括模型的建立、模型中的参数引入以及引入原因、研究中的过程优化、方法改进以及对模型所得结果的评价，并将新建立的研究模型与传统方法进行对比。最后，她再次强调新的研究方法适用范围更加广泛，能够用于识别隐含亚组结构、解决不同亚组重叠与不重叠矩阵的相关问题。  在提问交流环节中，在线师生积极参与互动。孙怡帆耐心详细地解答了每一个问题，并表示后续可以对此课题进行更加深入的研究。关于用统计方法解决生物医学问题，李扬指出有些优化算法确实是为解决生物医学领域的实际问题而提出，但优化算法的研究和应用不局限于生物医学领域。  本次讲座内容充实，深入浅出，不局限于理论讲解与算法实现，而是从实际问题出发，与实际数据紧密结合，将优化算法应用到医学问题中。本次讲座还启发同学们在今后的研究工作中灵活应用统计方法，探索了更多可能的研究领域与方向。此后统计大讲堂——“青椒说”专题系列还将陆续推出多场讲座，敬请期待。
161,2020/7/23,stat.ruc.edu.cn,http://stat.ruc.edu.cn/displaynews.php?id=5598,统计学院2020年全国优秀大学生夏令营顺利举行,7月20日，中国人民大学统计学院2020年全国优秀大学生夏令营圆满落幕。本次夏令营收到近150所高校800余名优秀学生的申请。  7月18日上午，夏令营开营仪式以线上形式圆满举办。  首先，统计学院副院长李静萍教授对夏令营营员表示热烈欢迎。她指出，中国人民大学统计学院拥有领先的学科优势、全面的研究体系与一流的师资力量，学生将在这里接受扎实、系统的统计学教育，充分了解和参与统计学院前沿研究。她鼓励营员们在夏令营过程中努力表现，取得优秀成绩。  随后，营员们参与了两场统计大讲堂——“青椒说”专题系列讲座。  第一场讲座以“Biomarker-guidedheterogeneityanalysisofgeneticregulationsviamultivariatesparsefusion”为主题，由统计学院副教授孙怡帆主讲。她从备受关注的复杂疾病异质性问题出发，探究基因的调控模式以及影响基因表达值高低的因素之间的联系，介绍了研究团队建立模型、引入参数、优化方法、评价结果的过程。讲座内容充实，深入浅出，从实际问题出发，与实际数据紧密结合，展现了优化算法在医学问题中的应用，启发同学们在今后的研究工作中灵活应用统计方法，探索更多可能的研究领域与方向。  第二场讲座以“从就业视角看经济社会统计实证研究”为主题，由统计学院副教授甄峰主讲。讲座围绕统计学的核心问题和思维方式，就经济社会统计研究解决实际问题进行案例介绍，为大家选择研究生学习和进入职场提供思路。甄峰介绍了统计学研究问题的一般流程，鼓励大家多学习方法和软件，同时注意以研究问题为导向，通过多个实际案例展示了统计学广泛的适用性。他就统计素养和基础能力的培养提出建议，并鼓励大家在学习和研究中坚持最原始的智慧与真实，启发营员们对经济社会统计的实证研究及统计专业研究人员的工作进行更深层次的思考和理解。  接着，两位杰出校友同营员分享了他们在统计学院的求学生活，并就科研、工作等话题与营员进行深入交流。  谢皓宇校友以“统计，思想”为主题，讲述了自己从学习到应用、再到领悟统计思想的心路历程。他认为，应用统计思想是一个完成变现的过程，是通过一定的工具找到研究对象的主要矛盾，并对未来进行一定的预测。他还围绕就业去向问题分享了个人见解，鼓励营员们选择正确赛道、做好未来贴现、不断付出努力，从而实现个人理想与人生价值。  黄媛校友围绕自己在统计学院的求学经历，进行了真诚细致的分享。她表示，在本科、研究生阶段的学术研究中，人大统计学院优越的师资力量、一流的研究平台和融洽的学习氛围给予她莫大的支持。学院多位老师的耐心指导令她坚定了从事学术科研的信心。她鼓励营员们积极探索创新，在学术之路上奋力向前。  最后，副院长李扬教授分享了自己多年来在统计学院求学、工作的经历，介绍了学院为研究生科研、升学、就业等方面提供的多方面支持和坚实保障。学院致力于构筑研究生研究性学习的氛围，增强学生理论水平向实践的转化的能力，提高学生利用统计学知识解决实际问题的本领。  夏令营期间，我院对全体营员进行了笔试和面试考核，优秀营员名单现已在统计学院官网公布，请点击这里查看。
176,2020/7/23,stat.ruc.edu.cn,http://stat.ruc.edu.cn/displaynews.php?id=5587,统计学院“2020年全国优秀大学生夏令营”优秀营员名单公示,7月17日-7月19日，我院举办的“2020年全国优秀大学生夏令营”活动顺利结束。现对优秀营员及候补名单公示如下：一、直博生项目二、硕博直通项目1、优秀营员一级2、优秀营员二级三、学术型项目-流行病与卫生统计学优秀营员一级三、专业学位项目-应用统计1、优秀营员一级2、优秀营员二级 说明：1、7月24日起，我院将在夏令营报名系统给获得“优秀营员一级”的同学在系统中陆续发放通知，请各位同学登录报名系统，7月27日上午8:00前在系统中确认是否接受。同时，请注意接收微信通知和相关文件，按要求完成后续流程，逾期未在系统中确认或未按要求完成相关流程的视作放弃优秀营员资格。7月27日以后，我院将根据“优秀营员一级”确认情况，向“优秀营员二级”的同学按序发放候补通知，请“优秀营员二级”的同学耐心等待候补通知。2、请密切关注中国研究生招生信息网（http://yz.chsi.com.cn/）、中国人民大学研究生招生网（http://pgs.ruc.edu.cn/）、统计学院网站（http://stat.ruc.edu.cn/）和手机微信的相关通知，按要求完成后续工作。
975,2020/7/17,stat.ruc.edu.cn,http://stat.ruc.edu.cn/displaynews.php?id=5586,中国人民大学统计学院2020年统计学专业课程研修班（北京）招生简章,中国人民大学统计学院在融入世界一流队列、开拓中国应用、培养高精尖应用统计人才、身先国家应用统计重点学科、教育部重点研究基地和国家统计局重点研究基地，全方位支持国家建设和发展上，做出了杰出的贡献。中国人民大学统计学院积极加强国内外交流。一方面积极建设博士后工作站并不断完善访问学者制度，加强与国内各高校相关专业专家学者的联系；另一方面全面提升国际性，在鼓励教师走出去的同时，也聘请了众多海外著名统计学专家到我院任兼职教授、客座教授。统计学院注重统计理论与应用的结合，设有国家政府统计研究院、北美精算协会（SOA）考试中心、教育部人文社会科学重点研究基地“应用统计科学研究中心”与“全国应用统计专业学位研究生教育指导委员会”。在互联网+和大数据快速发展的今天，统计学院面向社会服务已经取得辉煌的成就，中国社会调查数据中心，统计建模、随机分析及应用、抽样技术及应用、统计数据库与数据挖掘、多元统计分析等研究，培养了一大批优秀的高级应用统计人才进入政府公务员和经济、社会、金融、保险、管理等领域工作，建设了一些有针对社会需要的统计调查和数据分析研究平台体系，与国际一流大学和研究机构合作，不断提升为国家发展强大做出贡献的能力。为适应中国经济发展对高层次专门人才的需要，提高在职人员的业务素质与专业技能，中国人民大学统计学院面向社会开设统计学专业课程研修班。 一、培养目标具有坚实的数理统计学基础理论，具有系统的研究方向专门知识，具有独立从事实际数据采集、处理和分析的能力，能够熟练运用统计软件，能为实际问题的解决和决策提供量化的依据，具有能够继续进行博士课程学习和研究的能力，成为各研究方向统计分析的高级人才。  课程设置课程名称高等统计学中国特色社会主义理论与实践统计思想综述抽样技术与方法多元统计分析马克思主义与社会科学方法论统计诊断统计预测数据挖掘方法与应用市场研究专业外语经济统计研究定型数据研究方法宏观经济统计资本论选读论文写作与规范  注：课程设置按当年最新培养方案及教学计划标准调整。二、报名条件：1、拥护《中华人民共和国宪法》，遵守法律、法规，品行端正，业务熟练，勇于探索，勤于学习。2、具备大专以上学历者，均可报名参加课程研修班学习。三、报名办法：1、填写课程研修班报名登记表；2、交验本人最后学历证书、和学位证书、身份证复印件； 3、交同一底板（非红底）二寸照片2张，一寸照片4张四、学习时间：两年。 五、教学方法：学习期间课程授课采取理论与实践相结合、课堂讲授与自学相结合的方式。上课时间为周六日或其他业余时间。为学员指定教材，规定必读及参考书目，以利于自学。每门课程进行考试或考核。六、颁发证书：完成研修班规定的学习项目并考试合格者，经中国人民大学研究生院审核发给结业证书。七、收费标准：研修班学费33000元，学员因故不能坚持上课视为自动放弃学习，不退还学习费用。八、联系方式：招生老师：李老师、卞老师联系电话：010-82507689、62511656招办地址：中关村大街59号中国人民大学汇贤大厦B座302办公室。
1,2020/7/17,stat.ruc.edu.cn,http://stat.ruc.edu.cn/displaynews.php?id=5581,中国人民大学统计学院2020年风险管理与精算学专业课程研修班（杭州）招生简章,中国人民大学统计学科始建于1950年，两年后成立统计学系，是新中国经济学科中最早设立的统计学系，2003年7月，成立中国人民大学统计学院。多年来，本学科一直强调统计理论和统计应用的结合，不断拓宽统计教学和研究领域，成为统计学全国重点学科，在2007年教育部统计学科评估中排名全国第一，2012年教育部统计学一级学科评估中排名全国第一。目前，学院拥有统计学一级学科博士点和博士后流动站，拥有经济统计学和风险管理与精算学两个二级学科博士点，拥有预防医学与公共卫生一级学科硕士授权点，统计学、概率论与数理统计、风险管理与精算学、流行病与卫生统计学四个学术型硕士点，应用统计学专业学位硕士点，统计学、经济统计学、应用统计学（风险管理与精算）三个本科专业，是全国拥有理学、经济学、医学三大门类统计学专业最齐全的统计学院。统计学院注重统计理论与应用的结合，设有国家政府统计研究院、北美精算协会（SOA）考试中心、教育部人文社会科学重点研究基地“应用统计科学研究中心”与“全国应用统计专业学位研究生教育指导委员会”统计学院现有教师36人，其中教授15人，副教授16人，博士生导师13人。国内兼职教授11名，海外客座教授10人。多年来，共培养不同层次人才5000多人，大多数毕业生在金融、保险、证劵、基金、信息等领域从事数据采集和分析工作。为适应中国经济发展对高层次专门人才的需要，提高在职人员的业务素质与专业技能，中国人民大学统计学院面向社会开设风险管理与精算学专业课程研修班。一、培养目标为适应我国金融业、保险业、以及社会保障事业发展对风险管理和精算人才迅速增长的需求，提高从事各级各类企业风险管理、个人财务规划、金融、保险、养老金策划和管理、投资、社会保障等领域人员在风险管理与精算学方面的专业理论水平。课程设置课程名称风险管理中国特色社会主义理论统计思想概论风险模型金融衍生工具金融计量数据挖掘方法与应用统计预测应用随机过程《资本论》选读寿险精算实务线性模型Excel建模和VBA非寿险精算实务专业外语论文写作规范和方法马克思主义与社会科学法论注：课程设置按当年最新培养方案及教学计划标准调整。二、报名条件：1、拥护《中华人民共和国宪法》，遵守法律、法规，品行端正，业务熟练，勇于探索，勤于学习。2、具备大专以上学历者，均可报名参加课程研修班学习。三、报名办法：1、填写课程研修班报名登记表；2、交验本人最后学历证书、和学位证书、身份证复印件；3、交同一底板（非红底）二寸照片2张，一寸照片4张四、学习时间：两年。五、教学方法：学习期间课程授课采取理论与实践相结合、课堂讲授与自学相结合的方式。上课时间为周六日或其他业余时间。为学员指定教材，规定必读及参考书目，以利于自学。每门课程进行考试或考核。六、颁发证书：完成研修班规定的学习项目并考试合格者，经中国人民大学研究生院审核发给结业证书。七、收费标准：研修班学费35000元，学员因故不能坚持上课视为自动放弃学习，不退还学习费用。八、联系方式：联系人：吴老师电 话：010-62511643报名地址：杭州市余杭区余杭塘路2301号海智中心4号楼1109室
1265,2020/7/17,stat.ruc.edu.cn,http://stat.ruc.edu.cn/displaynews.php?id=5583,中国人民大学统计学院2020年概率论与数理统计专业课程研修班（深圳）招生简章,中国人民大学统计学科始建于1950年，两年后成立统计学系，是新中国经济学科中最早设立的统计学系，2003年7月，成立中国人民大学统计学院。多年来，本学科一直强调统计理论和统计应用的结合，不断拓宽统计教学和研究领域，成为统计学全国重点学科，在2007年教育部统计学科评估中排名全国第一，2012年教育部统计学一级学科评估中排名全国第一。目前，学院拥有统计学一级学科博士点和博士后流动站，拥有经济统计学和风险管理与精算学两个二级学科博士点，拥有预防医学与公共卫生一级学科硕士授权点，统计学、概率论与数理统计、风险管理与精算学、流行病与卫生统计学四个学术型硕士点，应用统计学专业学位硕士点，统计学、经济统计学、应用统计学（风险管理与精算）三个本科专业，是全国拥有理学、经济学、医学三大门类统计学专业最齐全的统计学院。统计学院注重统计理论与应用的结合，设有国家政府统计研究院、北美精算协会（SOA）考试中心、教育部人文社会科学重点研究基地“应用统计科学研究中心”与“全国应用统计专业学位研究生教育指导委员会”统计学院现有教师36人，其中教授15人，副教授16人，博士生导师13人。国内兼职教授11名，海外客座教授10人。多年来，共培养不同层次人才5000多人，大多数毕业生在金融、保险、证劵、基金、信息等领域从事数据采集和分析工作。为适应中国经济发展对高层次专门人才的需要，提高在职人员的业务素质与专业技能，中国人民大学统计学院面向社会开设概率论与数理统计专业课程研修班。一、培养目标具有较坚实宽广的数学理论基础，并且在概率统计的某个方向上掌握较系统的专门理论知识、技术与方法，能够运用所掌握的基础理论与专门知识解决科学研究或实际工作中的问题。  课程设置课程名称高等统计学中国特色社会主义理论与实践统计思想综述抽样技术与方法多元统计分析马克思主义与社会科学方法论统计诊断随机应用过程调查组织与设计数据挖掘与机器学习应用实验设计专业外语非参数统计风险管理时间序列分析论文写作与规范    注：课程设置按当年最新培养方案及教学计划标准调整。二、报名条件：1、拥护《中华人民共和国宪法》，遵守法律、法规，品行端正，业务熟练，勇于探索，勤于学习。2、具备大专以上学历者，均可报名参加课程研修班学习。三、报名办法：1、填写课程研修班报名登记表；2、交验本人最后学历证书、和学位证书、身份证复印件； 3、交同一底板（非红底）二寸照片2张，一寸照片4张四、学习时间：两年。 五、教学方法：学习期间课程授课采取理论与实践相结合、课堂讲授与自学相结合的方式。上课时间为周六日或其他业余时间。为学员指定教材，规定必读及参考书目，以利于自学。每门课程进行考试或考核。六、颁发证书：完成研修班规定的学习项目并考试合格者，经中国人民大学研究生院审核发给结业证书。七、收费标准：研修班学费33000元，学员因故不能坚持上课视为自动放弃学习，不退还学习费用。八、联系方式：联系人：吴老师  电  话：010-62511643 报名地址：深圳市南山科技园深港产学研基地西座南翼九楼
916,2020/7/17,stat.ruc.edu.cn,http://stat.ruc.edu.cn/displaynews.php?id=5585,中国人民大学统计学院2020年流行病与卫生统计专业课程研修班（苏州）招生简章,中国人民大学统计学科始建于1950年，两年后成立统计学系，是新中国经济学科中最早设立的统计学系，2003年7月，成立中国人民大学统计学院。多年来，本学科一直强调统计理论和统计应用的结合，不断拓宽统计教学和研究领域，成为统计学全国重点学科，在2007年教育部统计学科评估中排名全国第一，2012年教育部统计学一级学科评估中排名全国第一。目前，学院拥有统计学一级学科博士点和博士后流动站，拥有经济统计学和风险管理与精算学两个二级学科博士点，拥有预防医学与公共卫生一级学科硕士授权点，统计学、概率论与数理统计、风险管理与精算学、流行病与卫生统计学四个学术型硕士点，应用统计学专业学位硕士点，统计学、经济统计学、应用统计学（风险管理与精算）三个本科专业，是全国拥有理学、经济学、医学三大门类统计学专业最齐全的统计学院。流行病与卫生统计学专业是一个交叉性很强的专业，在培养学生统计学专业知识的同时更注重流行病与卫生统计学方面的专业知识和技能的培养，掌握临床医学和基础医学知识。随着中国市场化、信息化和国际化进程的深化，医学领域都对量化分析提出了越来越多的要求，作为统计学和流行病学结合的学科，在科学管理和决策中发挥着举足轻重的作用，医学领域对于具有医学和流行病知识又具有统计分析的人才需求也越来越多。为适应中国经济发展对高层次专门人才的需要，提高在职人员的业务素质与专业技能，中国人民大学统计学院面向社会开设流行病与卫生统计专业课程研修班。一、培养目标此研究方向在讲述统计学和临床医学等系统知识的同时，注重医学实验设计方法、比如卫生管理统计指标的设计与标准值问题，医院统计评价指标的筛选方法、医院多指标综合评价方法、临床试验与流行病学研究试验的观察方法、医学数据统计处理的一般模型、多元统计分析及其稳健估计方法、多层结构数据的统计分析方法等实际应用，坚持与国际流行病与医学统计学科发展方向接轨，面向实际，培养国家卫生统计部门、公共卫生管理部门、医院、生物制药行业、医药行业研究单位等专门人才和管理人才。课程设置：课程名称高等统计学中国特色社会主义理论与实践流行病学研究方法公共卫生导论临床流行病学马克思主义与社会科学方法论生物统计临床试验设计与分析广义线性模型多元统计分析定性数据研究方法专业外语机器学习方法基础试验设计与建模流行病学分支学科介绍论文写作规范和方法统计诊断注明：课程设置以当年研究生教学计划为标准。二、报名条件：1、拥护《中华人民共和国宪法》，遵守法律、法规，品行端正，业务熟练，勇于探索，勤于学习。2、具备大专以上学历者，均可报名参加课程研修班学习。三、报名办法：1、填写课程研修班报名登记表；2、交验本人最后学历证书、和学位证书、身份证复印件；3、交同一底板（非红底）二寸照片2张，一寸照片4张四、学习时间：两年。五、教学方法：学习期间课程授课采取理论与实践相结合、课堂讲授与自学相结合的方式。上课时间为周六日或其他业余时间。为学员指定教材，规定必读及参考书目，以利于自学。每门课程进行考试或考核。六、颁发证书：完成研修班规定的学习项目并考试合格者，经中国人民大学研究生院审核发给结业证书。七、收费标准：研修班学费33000元，学员因故不能坚持上课视为自动放弃学习，不退还学习费用。八、联系方式：联系人：吴老师 电  话：010-62511643 报名地址：杭州市余杭区余杭塘路2301号海智中心4号楼1109室
225,2020/7/17,stat.ruc.edu.cn,http://stat.ruc.edu.cn/displaynews.php?id=5582,中国人民大学统计学院2020年概率论与数理统计专业课程研修班（北京）招生简章,中国人民大学统计学科始建于1950年，两年后成立统计学系，是新中国经济学科中最早设立的统计学系，2003年7月，成立中国人民大学统计学院。多年来，本学科一直强调统计理论和统计应用的结合，不断拓宽统计教学和研究领域，成为统计学全国重点学科，在2007年教育部统计学科评估中排名全国第一，2012年教育部统计学一级学科评估中排名全国第一。目前，学院拥有统计学一级学科博士点和博士后流动站，拥有经济统计学和风险管理与精算学两个二级学科博士点，拥有预防医学与公共卫生一级学科硕士授权点，统计学、概率论与数理统计、风险管理与精算学、流行病与卫生统计学四个学术型硕士点，应用统计学专业学位硕士点，统计学、经济统计学、应用统计学（风险管理与精算）三个本科专业，是全国拥有理学、经济学、医学三大门类统计学专业最齐全的统计学院。统计学院注重统计理论与应用的结合，设有国家政府统计研究院、北美精算协会（SOA）考试中心、教育部人文社会科学重点研究基地“应用统计科学研究中心”与“全国应用统计专业学位研究生教育指导委员会”统计学院现有教师36人，其中副教授16人，教授15人，博士生导师13人。国内兼职教授11名，海外客座教授10人。多年来，共培养不同层次人才5000多人，大多数毕业生在金融、保险、证劵、基金、信息等领域从事数据采集和分析工作。为适应中国经济发展对高层次专门人才的需要，提高在职人员的业务素质与专业技能，中国人民大学统计学院面向社会开设概率论与数理统计专业课程研修班。一、培养目标具有较坚实宽广的数学理论基础，并且在概率统计的某个方向上掌握较系统的专门理论知识、技术与方法，能够运用所掌握的基础理论与专门知识解决科学研究或实际工作中的问题。  课程设置课程名称高等统计学中国特色社会主义理论与实践统计思想综述抽样技术与方法多元统计分析马克思主义与社会科学方法论统计诊断随机应用过程调查组织与设计数据挖掘与机器学习应用实验设计专业外语非参数统计风险管理时间序列分析论文写作与规范注：课程设置按当年最新培养方案及教学计划标准调整。二、报名条件：1、拥护《中华人民共和国宪法》，遵守法律、法规，品行端正，业务熟练，勇于探索，勤于学习。2、具备大专以上学历者，均可报名参加课程研修班学习。三、报名办法：1、填写课程研修班报名登记表；2、交验本人最后学历证书、和学位证书、身份证复印件； 3、交同一底板（非红底）二寸照片2张，一寸照片4张四、学习时间：两年。 五、教学方法：学习期间课程授课采取理论与实践相结合、课堂讲授与自学相结合的方式。上课时间为周六日或其他业余时间。为学员指定教材，规定必读及参考书目，以利于自学。每门课程进行考试或考核。六、颁发证书：完成研修班规定的学习项目并考试合格者，经中国人民大学研究生院审核发给结业证书。七、收费标准：研修班学费33000元，学员因故不能坚持上课视为自动放弃学习，不退还学习费用。八、联系方式：联系人：吴老师  电  话：010-62511643 报名地址：中国人民大学汇贤楼B座301办公室
