title,datetime,url,content,source
石佳友教授在“全国高校民商法学师资《民法典》公益培训班”授课  为本系列第七讲,2020-08-05,http://mp.weixin.qq.com/s?__biz=MzA3NTAwMDAxMA==&amp;mid=2652080859&amp;idx=1&amp;sn=47be7740030bfcf12903481e7055f8ef&amp;chksm=84901b7eb3e792688fc405459305403e7f5529470dee64ab46e41e795d3324f84bcab88b5142&amp;scene=27#wechat_redirect,"
2020年8月4日上午，中国人民大学法学院石佳友教授在中国人民大学法学院主办的“全国高校民商法学师资《民法典》公益培训班”授课，为系列讲座的第七讲。石佳友教授主讲的题目是《民法典合同编立法争议与立法选择》，集中讲授民法典合同编相关部分内容在草案立法论证期间的主要争议问题。石佳友教授表示，民法典合同编相比《合同法》有较大的内容变动，包含了大量的规则创新。因此合同编的讲授由姚辉教授、朱虎教授和他共同承担。根据分工，石佳友教授讲座的内容分为三部分。第一部分是民法典合同编的一般规定、合同的订立及效力；第二部分是部分典型合同，包括保证合同、租赁合同、融资租赁合同以及建设工程合同，第三部分是准合同。石佳友教授首先分析了民法典的体例及合同编的体系安排。他指出，中国民法典是否应设立单独的债编是几乎贯穿于民法典编纂整个过程的主要争议问题之一。最终，立法者采取了否定态度，将债编的具体内容拆分为合同编（含准合同）和侵权责任编，并以合同编通则代行债法总则的功能，这体现了一种功能主义的方法论。他特别指出，就中国民法典中的债法体系问题，除应注意合同编的功能主义方法论之外，还必须结合侵权责任的独立成编来进行整体分析。就此而言，需要注意的是：从形式上来看，侵权编在编排位置上居于民法典之末（第七编）而并未与合同编（第三编）相邻；从内容上看，侵权编基本上剥离了绝对权请求权的内容，而集中于损害赔偿之债，以这一“公约数”来实现对所有类型的绝对权的“兜底”保护，实现了从“大侵权”模式向“小侵权”模式的重要变革。因此，中国债法在立法体例上告别了大陆法系立足于债的不同渊源而建构的传统债法体系。就身份合同对合同编规则的准用以及其他债的类型对合同编规则的准用，民法典在行文上采取了不同的表述方式，但二者均应遵从“特别法优于普通法”的法律适用原理，合同编规则作为普通法具有补充性特点。随后，石佳友教授对部分典型合同进行了解释和说明，并对其中立法争议问题进行了阐释，包括保证期间、租赁合同登记、转租、虚构融资租赁物、建设工程价款优先权等问题的主要争议观点。在准合同部分，石佳友教授重点讲解了围绕“准合同”这一源自比较法的概念的有关立法争议。就具体规则而言，石佳友教授结合比较法的内容，详细阐述了无因管理中主观主义（“真实意思”）与客观主义（“有效管理”）标准、是否应增设不法原因给付制度等立法争议问题。在互动阶段，石佳友教授回答了部分高校教师所提出的问题，与听众进行了较为充分的交流探讨。图 / 石佳友教授授课本次高校民商法学师资公益培训将从8月1日持续进行到8月8日，全国来自370多所高等院校的六千多名法学专业教师报名参加了本次培训。欢迎全国各法学院校的高校教师继续准时收看本次培训的后续在线课程。全国高校民商法学师资公益培训班（2020）课程表本期编辑丨余婉遥指导老师丨阎芳 孟晗 杨硕
",中国人民大学法学院
龙翼飞教授在“全国高校民商法学师资《民法典》公益培训班”授课  为本系列第五讲,2020-08-04,http://mp.weixin.qq.com/s?__biz=MzA3NTAwMDAxMA==&amp;mid=2652080853&amp;idx=1&amp;sn=44e3cf7aabafb353e4b41a10f6a9b229&amp;chksm=84901b70b3e7926671ca143f4c1f43bb01055b8d3ee164f8a5b199df6bb7dae3ce2fe08db779&amp;scene=27#wechat_redirect,"
      2020年8月3日上午，中国人民大学法学院龙翼飞教授在中国人民大学法学院主办的“全国高校民商法学师资《民法典》公益培训班”授课，为系列讲座的第五讲。      龙翼飞教授主讲的题目是《民法典婚姻家庭编之家庭关系价值追求与制度设计》。      龙翼飞教授首先讲解了民法典婚姻家庭编的制度创新及法理思想，龙翼飞教授认为民法典婚姻家庭编贯穿了人权平等、人格尊严、人身自由、人亲和谐、人际诚信、人性友善、人财共济、人伦正义、人本秩序和人文关怀等核心法理思想。龙翼飞教授认为，民法典第1041条的规定“婚姻家庭受国家保护。实行婚姻自由、一夫一妻、男女平等的婚姻制度。保护妇女、未成年人、老年人、残疾人的合法权益。”体现了婚姻家庭编的基本法理思想。      龙翼飞教授认为，婚姻家庭编还体现了权利法定、行为公示、契约维护、效力公信、人身利益优先、财产权利公平、禁止权利滥用等具体法理精神。具体法理精神既不像核心法理和基本法理那般抽象、宏观和概括，也不像法律规范那般细致、具体和详尽，它们在婚姻家庭编中起到类似于起承转合的作用，一方面，它们将民法典婚姻家庭编的核心法理和基本法理具体化；另一方面，它们又将繁复、碎片化的法律规范加以整合，使之条块化和体系化，便于人们在具体实践中对后者进行理解和适用。      龙翼飞教授随后对民法典婚姻家庭编中的“一般规定”等章节以及婚姻家庭编中的具体制度规则进行了分析和说明。      龙翼飞教授最后还回答了部分高校教师提出的问题，进行了较为充分的互动交流。（龙翼飞教授授课）      本次高校民商法学师资公益培训将从8月1日持续进行到8月8日，全国来自370多所高等院校的六千多名法学专业教师报名参加了本次培训。欢迎全国各法学院校的高校教师继续准时收看本次培训的后续在线课程。本期编辑：刘彦麟指导老师：阎芳 孟晗 杨硕
",中国人民大学法学院
孙若军教授在“全国高校民商法学师资《民法典》公益培训班”授课 为本系列第六讲,2020-08-04,http://mp.weixin.qq.com/s?__biz=MzA3NTAwMDAxMA==&amp;mid=2652080853&amp;idx=2&amp;sn=485c8f0f2dec36db4076a29c7a779e74&amp;chksm=84901b70b3e792669b4588d4e786fa24afebfb4394102aa5b622807fc203d92a6062c507643f&amp;scene=27#wechat_redirect,"
      2020年8月3日下午，中国人民大学法学院孙若军教授在中国人民大学法学院主办的“全国高校民商法学师资《民法典》公益培训班”授课，为系列讲座的第六讲。     ‍ 孙若军教授主讲的题目是《民法典婚姻家庭编之结婚离婚制度阐释》。      孙若军教授分三个部分进行了讲述，分别是“婚姻法纳入民法典对婚姻家庭关系的影响”、“婚姻家庭编‍的教学体系和方法”、“婚姻家庭编的理论体系”。      在第一部分，孙若军教授认为，婚姻法纳入民法典对我国婚姻家庭关系的影响是巨大的。首先，民法典人格权独立成编、民事权利保护顺序调整为人身权利置于财产权利之前，形成了人格权优于身份权、人身权优于财产权的权利位阶，对未来夫妻间权利冲突的解决，以及对离婚当事人生活自主权的尊重都具有积极的意义。其次，民法典平等、意思自治的价值理念，势必加快推进夫妻关系平等的步伐。但于此同时也要注意，公平竞争、平等保护的市场经济规则，并不完全适合现阶段很多尚没有完全平等的夫妻关系，不加区别的平等保护，结果是不平等的。最后，民法典庞大的权利保护体系，势必增强当事人的权利保护意识，传统“法不入家门”的理念将会被打破。      第二部分，孙若军教授从法律体系和教学体系的角度，详细阐释了婚姻家庭编对婚姻法的修改及其原因，并提示了相关法律制度的教学方法。      第三部分，孙若军教授对民法典中结婚离婚相关制度规则中的理论实务热点问题进行了分析，对夫妻人身权利体系、夫妻财产制度体系和离婚救济体系亟待解决的理论问题进行了详细的阐释。      孙若军教授最后还回答了部分高校教师提出的问题，进行了较为充分的互动交流。（孙若军教授授课）      本次高校民商法学师资公益培训将从8月1日持续进行到8月8日，全国来自370多所高等院校的六千多名法学专业教师报名参加了本次培训。欢迎全国各法学院校的高校教师继续准时收看本次培训的后续在线课程。本期编辑：刘彦麟指导老师：阎芳 孟晗 杨硕
",中国人民大学法学院
头条｜高圣平教授在“全国高校民商法学师资《民法典》公益培训班”授课  为本系列第四讲,2020-08-03,http://mp.weixin.qq.com/s?__biz=MzA3NTAwMDAxMA==&amp;mid=2652080840&amp;idx=1&amp;sn=5f5329fa227c43c6c897a78deddacc4f&amp;chksm=84901b6db3e7927bb0ff5b794a1d94c40e6044c12760fd5c0719de1fd5f04055edd58555ca82&amp;scene=27#wechat_redirect,"
2020年8月2日下午，中国人民大学法学院高圣平教授在中国人民大学法学院主办的“全国高校民商法学师资《民法典》公益培训班”授课，为系列讲座的第四讲。高圣平教授主讲的题目是《民法典物权编立法阐释与教学体系》，分四个部分进行了讲解。分别是民法典物权编的法典体系与教学体系、民法典物权编通则分编的主要修改与物权总论的教学、民法典物权编所有权分编的主要修改与所有权章的教学、民法典物权编用益物权分编的主要修改与用益物权章的教学。第一部分，高圣平教授通过对民法典物权编的分编结构进行解读说明，阐释了法典体系与教学体系的关联和差异。第二部分，高圣平教授重要阐释了物债两分体系之下的物权观念，重点解释了公示生效主义与公示对抗主义之下的不同物权效力问题，随后对物权法基本原则进行了解释和说明，重点解释了物权法定原则及其缓和，对物权变动规则的修改以及物权请求权进行了较为详细的解释。第三部分，高圣平教授重点对集体所有权行使规则、建筑物区分所有权、共有规则等主要修改部分及其对所有权章教学可能带来的影响进行了说明。第四部分高圣平教授对用益物权的体系化、土地承包经营权以及建设用地使用权规则的主要修改进行了分析和说明。最后对物权编新增加的“居住权”规则进行了较为详细的讲解。高圣平教授最后还回答了部分高校教师提出的问题，进行了较为充分的互动交流。（高圣平教授授课）本次高校民商法学师资公益培训将从8月1日持续进行到8月8日，全国来自370多所高等院校的六千多名法学专业教师报名参加了本次培训。欢迎全国各法学院校的高校教师继续准时收看本次培训的后续在线课程。本期编辑：孟孜谦指导老师：阎芳 孟晗 杨硕
",中国人民大学法学院
致敬｜人大法学院诉讼法教研室丁始璋老师,2020-08-03,http://mp.weixin.qq.com/s?__biz=MzA3NTAwMDAxMA==&amp;mid=2652080840&amp;idx=2&amp;sn=3aeee250f5043435e222d42b1e01b082&amp;chksm=84901b6db3e7927bad7e8fdb3c00d4b38f99f38a0fbf4c3f54a5dd9aff9fd24ecfa89c7326a4&amp;scene=27#wechat_redirect,"
丁始璋，1941年3月生，汉族，籍贯山东省日照市，中国人民大学法学院诉讼法教研室副教授，1998年2月退休。丁始璋1947年9月至1954年7月，在青岛绥远路小学、北京艺文小学、交通部员工子弟小学、北京绒线胡同小学就读小学，1954年9月至1957年7月，北京二十八中就读初中，1957年9月至1960年7月，北京第十女子中学读高中，1960年9月至1964年8月，就读北京政法学院。1964年9月至1971年11月，在山东省临沂地区中级人民法院任书记员，1971年12月至1976年3月，在山东省临沂矿务局焦化厂当化验员，1976年4月至1979年9月，在北京市魏公村邮局当营业员。丁始璋1979年9月到中国人民大学法律系任教员，讲授《民事诉讼法》《公证法》课程，编写《民诉法》教材。与江伟教授合编：《民事诉讼法教程》（人民大学出版社，1990）、《民事诉讼法学》高等教育法学自学指导书（人民大学出版社，1992），曾任北京市诉讼法学会常务理事、北京市人民调解学会常务理事。1990年12月，丁始璋老师当选第四届海淀区政协委员。丁始璋老师退休后，与爱人北京大学刘瑞珣教授一道，资助了老家山东日照莒县安庄镇中心小学二十多位贫困学生，其中大部分都是留守儿童。丁始璋夫妇的爱心也让这些孩子们感受到了温暖，助力了他们的健康成长。人大法学院党委副书记阎芳和办公室副主任路磊在教师节去家里看望丁始璋老师（中）。本期编辑：孟孜谦指导老师：阎芳 孟晗 杨硕
",中国人民大学法学院
杨立新教授在“全国高校民商法学师资《民法典》公益培训班”授课  为本系列第二讲,2020-08-02,http://mp.weixin.qq.com/s?__biz=MzA3NTAwMDAxMA==&amp;mid=2652080827&amp;idx=1&amp;sn=a64bf1e2c3cdb142cf22e4d110e8094d&amp;chksm=84901b1eb3e79208a61ec4b77eeb78b87cd5e2abc79e9c7fc5132d1b1ea88ad7da48142087cc&amp;scene=27#wechat_redirect,"
2020年8月1日下午，中国人民大学法学院杨立新教授在中国人民大学法学院主办的“全国高校民商法学师资《民法典》公益培训班”授课，为系列讲座的第二讲。杨立新教授主讲的题目是《民法典继承编解读-兼及民法典理论研究的重点问题》。杨立新教授主要从三个方面展开讲授，分别是民法典继承编的特点、主要条文内容以及需要继续研究的问题。杨立新教授说明了民法典继承编的立法背景，认为原来《继承法》的继承规则比较简陋，主要原因是过去理论研究支撑不够、借鉴和沿用苏联的法律规则，意识形态色彩浓厚不符合市场经济的要求，另外在继承法出台的那个年代里，人们私人财产有限，对规则需求较少。《民法典》继承编则相比《继承法》有了很大的进步，适应了市场经济发展和人们财富增加的时代要求，也体现了相关法律研究深化的成果。杨立新教授随后对《民法典》继承编相比《继承法》的主要变化修改的条文进行了逐一解释和说明。之后，杨立新教授还对可进一步讨论的问题进行了提示，指出在法定继承人的范围、法定继承的顺序、姻亲作为第一法定继承人的合理性、代位继承、后位继承、替补继承、特留份制度、遗产管理制度、清偿范围与顺序、遗赠抚养协议与继承抚养协议、遗嘱信托等问题上，还值得进一步深入研究和探讨。杨立新教授最后还回答了部分高校教师提出的问题，进行了较为充分的互动交流。杨立新教授授课本次高校民商法学师资公益培训将从8月1日持续进行到8月8日，全国来自370多所高等院校的六千多名法学专业教师报名参加了本次培训。欢迎全国各法学院校的高校教师继续准时收看本次培训的后续在线课程。附：全国高校民商法学师资公益培训班（2020）课程表 本期编辑：张裕指导老师：阎芳 孟晗 杨硕
",中国人民大学法学院
张新宝教授在“全国高校民商法学师资《民法典》公益培训班”授课  为本系列第三讲,2020-08-02,http://mp.weixin.qq.com/s?__biz=MzA3NTAwMDAxMA==&amp;mid=2652080827&amp;idx=2&amp;sn=216f6ccf20f1545fdb640aa1154f0cee&amp;chksm=84901b1eb3e7920832ebd30031909d09c3b14f504b8d3c238a729439ebc88a982ed5f73f38e8&amp;scene=27#wechat_redirect,"
2020年8月2日上午，中国人民大学法学院张新宝教授在中国人民大学法学院主办的“全国高校民商法学师资《民法典》公益培训班”授课，为系列讲座的第三讲。张新宝教授主讲的题目是《民法典侵权责任编主要内容、制度创新和理解适用》。张新宝教授首先介绍了民法典侵权责任编的主要内容，对一些重要的条文规定进行了逐一的讲解。然后第二部分张新宝教授对民法典侵权责任编的编纂修改情况进行了具体的数据分析，张新宝教授从删除的条款、保留的条款、修改的条款以及增加的条款分别予以说明。接着第三部分张新宝教授对民法典侵权责任编的主要制度创新进行了介绍，张新宝教授认为，侵权责任编第一个最重要的修改就是贯彻生态文明的理念和民法典的绿色原则，建立与完善环境污染和生态破坏的侵权责任制度。第二个重要的方面是贯彻社会主义的核心价值观，明确提供相应的行为规范，夯实侵权责任的公平正义基础。第三个重要的方面就是适应信息社会的要求，强化了网络侵权责任的规定。随后，张新宝教授对民法典侵权责任编的学习和实施进行了说明，认为要加强司法解释工作，首先就是对现有司法解释的存废问题要进行研究并解决，其次要注重体系解释，尤其是一些特殊的侵权责任规定需要与民法典侵权责任编的适用来进行系统的思考。再次，法律要在实践中不断的检验和完善。张新宝教授最后还回答了部分高校教师提出的问题，进行了较为充分的互动交流。张新宝教授授课本次高校民商法学师资公益培训将从8月1日持续进行到8月8日，全国来自370多所高等院校的六千多名法学专业教师报名参加了本次培训。欢迎全国各法学院校的高校教师继续准时收看本次培训的后续在线课程。附：全国高校民商法学师资公益培训班（2020）课程表 本期编辑：张裕指导老师：阎芳 孟晗 杨硕
",中国人民大学法学院
中国人民大学法学院主办的“全国高校民商法学师资《民法典》公益培训班”8月1日顺利开班  王利明教授首讲,2020-08-01,http://mp.weixin.qq.com/s?__biz=MzA3NTAwMDAxMA==&amp;mid=2652080820&amp;idx=1&amp;sn=66283a25206a1ba2ae2851be90d3c9d9&amp;chksm=84901b11b3e79207ae05cda008f2260b0a4b5eaf497492504f93008d5ba978df4575ec099232&amp;scene=27#wechat_redirect,"
2020年8月1日，中国人民大学法学院主办的“全国高校民商法学师资公益培训班（2020）：迎接《民法典》时代”顺利开班。首场讲座于8月1日上午9:00由中国人民大学常务副校长王利明教授就《民法典人格权编的立法体例与教学体系》为全国六千多名高校法学教师进行了在线讲授。中国人民大学法学院党委书记、院长王轶教授主持了首场讲座。王轶院长介绍，民商法学师资公益培训班系中国人民大学法学院受教育部高等教育司的要求和委托举办，以《民法典》的颁布为契机面向全国高校展开，是提升高校民商法学师资教学水平和能力的重要举措。王轶院长说，中国人民大学法学院今后还将长期承担高校师资培训的任务，这项工作能否顺利进行，有赖于法学界同事们的共同参与和努力。王轶院长借此机会，对全国法学界的朋友们对中国人民大学法学院过去70年来的关心与支持表示感谢，也期待朋友们在今后继续关心支持中国人民大学法学院。王轶院长主持随后，王轶院长对王利明教授作了介绍。王轶院长说，王利明教授作为中国法学会副会长、中国法学会民法学研究会会长、中国法学会民法典编纂项目领导小组副组长，来进行本次公益讲座的第一讲，好的开始是成功的一半，相信本次王利明教授与全国法学老师们的互动交流一定会是本次公益培训最好的成功开启。王利明教授授课王利明教授随后开始讲座，王利明教授首先讲解了民法典人格权独立成编的重要意义，指出人格权独立成编彰显了中国特色，适应了人民群众美好幸福生活的追求，强化了对人格权、对人格尊严的保护，也回应了互联网、高科技、大数据时代科技爆炸和科技进步带来的时代问题。人格权编确认了人格权独特保护方式，注重事前预防与事后救济的结合。王利明教授就上述问题做了具体的分析、举例和展开。王利明教授还就人格权编适用中的相关问题进行了讲解，指出要发挥动态系统论在侵害人格权的民事责任归责中的适用。王利明教授还特别强调了民法典实施的重要性，认为要准确理解、把握民法典，树立权利观念和合同严守意识，制定配套的法律、法规，清理现有的法律、法规、司法解释等规范性文件，加强民法典的宣传、普及工作。王利明教授还就人格权法研究与教学提出了几点建议，认为人格权编写入民法典，是一个重要的创新。一要加强人格权法的理论研究，法典规定的体系和民法学的体系不能等同，但民法学体系也不能与民法典体系相冲突。二要继续编写教材，做好人格权法的教材建设工作。三要开设人格权法的课程，培育和强化大学生的人格权保护意识。王利明教授在讲座后回答了老师们提出的问题，与老师们进行了互动交流。王利明教授直播授课画面8月1日上午，全国来自370多所高等院校的六千多名法学专业教师在线收看了“全国高校民商法学师资公益培训班”首讲王利明教授的讲座。本次培训由中国人民大学出版社协办并提供技术支持。本次高校民商法学师资公益培训将从8月1日持续进行到8月8日。欢迎全国各法学院校的高校教师继续准时收看本次培训的在线课程。附：全国高校民商法学师资公益培训班（2020）课程表 本期编辑：张驰宇指导老师：阎芳 孟晗 杨硕
",中国人民大学法学院
致敬︱中国人民大学法学院物证技术教研室老主任孙言文教授,2020-07-29,http://mp.weixin.qq.com/s?__biz=MzA3NTAwMDAxMA==&amp;mid=2652080792&amp;idx=1&amp;sn=63a98482b06f000947a7fb4e84fceb0a&amp;chksm=84901b3db3e7922b87629d25c69230e79c4ca60c6e20e97674fc82f0b73d3612a4ac7896a4e3&amp;scene=27#wechat_redirect,"
孙言文，女，汉族，1939年2月出生，1976年4月16日加入中国共产党，籍贯辽宁。中国人民大学法学院教授，硕士研究生导师，研究方向：法医学、物证技术学。孙言文1958年9月至1960年9月在抚顺医学院学习，1960年9月至1963年10月在沈阳医学院医疗系学习。1963年10月至1970年4月，在公安部民警干校（今中国刑警学院）担任教师；1970年4月至1972年11月，在沈阳冶炼厂职工医院医师；1972年11月至1986年7月又回到中国刑警学院任教；1986年7月至1987年12月，在中国人民公安大学任教师；1987年12月到中国人民大学法学院从教。    孙言文教授1988年10月任法律系物证技术实验室主任，1997年1月任法学院物证技术教研室主任、兼中国人民大学物证技术鉴定中心主任。此外，孙言文教授曾任中国法医学会理事、北京物证技术学会常务理事、卫生部艾滋病专家咨询委员会委员。孙言文教授对人大法学院的物证技术学教学科研工作作出了巨大贡献。她主编的 《物证技术学》 (21 世纪法学系列教材, 中国人民大学出版社 2000 年出版)和 《生物物证技术》 (中国人民大学出版社 1995 年出版)等教材在许多高校使用 , 获得了同行的好评, 深受师生的欢迎。主要学术成果还有《法医学》等。    孙言文老师1980年在中国刑警学院曾获得先进工作者奖、优秀党员称号。1983年被选为沈阳市第九届人民代表大会代表，1987年在中国人民公安大学被授予公安部三八红旗手称号。1992年被评为中国人民大学安全保卫先进工作者。2015年9月，孙言文教授受邀出席人大法学院新生开学典礼并讲话。每年教师节，人大法学院证据学教研室老师们都去家里看望孙言文教授。2014年重阳节，人大法学院组织孙言文教授（右二）等离退休老师返校来参观学校博物馆展览。本期编辑：杨志宇指导老师：阎芳 孟晗 杨硕
",中国人民大学法学院
乘风破浪·与你同行丨人大法学院的光荣与梦想,2020-07-25,http://mp.weixin.qq.com/s?__biz=MzA3NTAwMDAxMA==&amp;mid=2652080777&amp;idx=1&amp;sn=6f78f15afb1bf6b0d0f10b00079c6710&amp;chksm=84901b2cb3e7923ac34f838d66065b0e3a925a70ff2a3b592a0d1a81c089c4200bee11451e33&amp;scene=27#wechat_redirect,"
人大法学院的光荣与梦想中国人民大学法律系成立于1950年，是新中国诞生后创立的第一所正规的高等法学教育机构，被誉为中国法学教育的“工作母机”和“法学家的摇篮”，成为引领法学教育的重镇、凝聚国内优秀法律人才的平台和沟通中外法学交流的窗口。2020年秋，人大法学院也将迎来她的70岁生日，回顾七十年光辉历程，创业维艰，奋斗以成。凝聚着无限光荣与厚重梦想的人大法学院在推动中国法治建设的道路上乘风破浪，一往无前。七十年风风雨雨，七十载峥嵘岁月。今天，就让我们一同感受七十岁人大法学院的辉煌、荣耀、青春，与无限未来。人大法学院近期系列推送选编开创立法先河护航民族复兴人大法学院教师《民法典》相关文章合辑有一种青春奋进，叫人大法律人！人大法学大咖民法典系列公益讲座开讲啦！人大法学院教师战“疫”之声欢迎关注中国人民大学法学院（RUClawschool）您可长按本图右侧二维码关注本公众号点击“阅读原文”前往人大法学院官网
",中国人民大学法学院
