datetime,source,url,title,content
2020-08-05,教务处,http://jiaowu.ruc.edu.cn/jxyx/tzgg/5ea2db217e244562b1a6edc623681093.htm,关于2021届毕业生免试攻读研究生推荐工作安排的通知,各学院（系）及相关部门：根据教育部办公厅《关于进一步完善推荐优秀应届本科毕业生免试攻读研究生工作办法的通知》（教学厅[2014]5号）、《中国人民大学优秀应届本科毕业生免试攻读研究生推荐工作实施办法（修订）》（2016-2017学年校政字15号）及补充规定的文件精神，现就我校2021届本科毕业生免试攻读研究生推荐工作安排通知如下：学生在“微人大——校务——本科教务管理——推荐免试研究生系统”中填写和保存申请，填写时应明确注明推荐生类别（一般类别、艺术特长生、退役学生、支教生、骨干计划），申请“艺术特长生”或“退役学生”两类特殊类别时先按照“一般类别”填写，待相关部门确定资格后由教务处统一在系统更改。网上填写申请阶段学生可对申请内容随时进行修改和完善。本阶段内不计算平均学分绩点和专业排名，请学生再次查看个人成绩单，若有已完成赴外交流学习课程学分认定但成绩未录入系统、转专业学生课程性质转换申请未在系统完成等相关成绩问题时，请务必在9月9日中午12点前与本学院教务秘书联系并解决。通过副修认证的2017级同学应于9月1日前完成成绩认证申请，副修成绩认证系统将与推免报名系统同步开放。学生网上提交申请，请再次明确推荐生类别及其他各项信息。申请提交后，所有信息将无法更改，系统将按规则自动计算平均学分绩点（GPA），并按申请者的平均学分绩点进行临时排序。学院(系)根据学校规定，对所有推荐类别的学生进行统一综合测评。综合测评结束后，由学院（系）负责人在系统中点击“成绩录入”，录入科研能力和素质拓展成绩（请注意“保存”和“提交”的区别）。成绩录入并提交后，系统根据平均学分绩点、科研能力、素质拓展三项加权得出学生的综合测评成绩，学生本人可以查询本学院报名学生情况以及当前排名。综合测评成绩录入后，所有推荐类别学生在网上打印申请表，经本人签字后交至学生本人所在院系。该申请表由数字人大系统生成，学生本人不得自行制作表格或在系统外修改任何相关信息，以免出现纸质信息和电子数据不符情况。学院（系）根据学生提交的申请，严格按照下达至本学院（系）的推免名额，依综合测评成绩从高到低确定拟推荐学生名单。各学院（系）也可根据实际情况，确定是否按专业、直博等再次分配名额，并严格按二次分配后的名额依综合测评成绩从高到低确定拟推荐学生名单。名单确定后，学院（系）在系统中对相关学生做“同意推荐”(名额内)操作。学院（系）同时须按学校分配的总体名额的10%，提交本学院（系）推荐备选名单，并在系统中对相关学生做“备选”（名额外）操作。学院在系统设置“同意推荐”和“备选”只针对申请“一般类别”的学生，申请艺术特长生、退役学生、支教生、骨干计划四类特殊类别的学生的推荐资格由相关部门向教务处报送。学院拟推荐名单确认并提交后，学生本人可在系统中查询本学院（系）拟推荐名单及排序，如有异议，可向学院（系）推免工作小组提出，由学院（系）推免工作小组负责解释。拟推荐名单确定后，各院系打印系统生成的《中国人民大学推荐免试攻读硕士学位研究生名单（学院）》，经学院主管负责人签字并盖章后报送至教务处教务科。学校推免工作委员会对各学院（系）上报的拟推荐名单进行审核批准，同时，根据相关单位报送的业务测评结果，确定艺术特长生、退役学生、支教生、骨干计划的推免名单。根据审批结果，教务处负责将系统中将原状态变更为“通过”和“未通过”两类，并将名单在系统中公示4天。公示期出现的异议由学校推免工作委员会负责解释。公示结束后，教务处将获得推免资格的学生名单及相关信息报送至研究生院并配合研究生院完成向北京市及教育部相关部门数据上报的工作。获得推免资格学生的报考、复试、接收等相关工作安排及“全国推荐优秀应届本科毕业生免试攻读研究生信息公开暨管理服务系统”系统操作说明以我校研究生院的工作通知为准。1．2021届推免工作开展期间，如上级教育主管部门有新的文件或通知出台并与本通知有不一致之处的，以上级教育主管部门新文件或通知为准。按照新冠肺炎疫情防控工作安排，推免工作期间各阶段时间如需调整，教务处将另行通知。2.平均学分绩点的计算是以学生申请提交时系统中已有的课程成绩为准。因此，请各学院（系）督促教师务必在9月8日前录入完成上学期课程的成绩（含学年论文），同时若有其他成绩相关问题也应在9月9日中午12点前解决。3．按照《中国人民大学优秀应届毕业生免试攻读研究生推荐工作实施办法（修订）》第三章推免基本条件第十三条及补充规定第三、四条规定，申请“一般类别”推免的学生应达到校内英语四级（或国家大学英语六级）和英语口语能力相关标准，未达到标准的学生可以通过其他社会普遍认可的英语成绩进行认定，认定标准如下表：考虑到新冠肺炎疫情期间，国际和国内普遍认可的英语语言类考试未能如期举办，导致部分学生无法按原计划参加此类考试，对于此类情况，学校将为计划申请推免但以往成绩未达到英语成绩标准的学生举行一次英语笔试和口语能力测试，测试的题型和难度将与我校大学英语四级和英语口语能力标准保持一致，达标标准按照推免相关规定执行，测试时间暂定于9月9日（具体时间和地点将由院系通知学生）。本次测试成绩仅作为能否达到校内申请推免英语成绩标准，不计入学生成绩单，也不与学校其他活动关联。需要参加此次测试的同学应于8月24日—9月4日在微人大“未达到申请推免英语成绩标准学生英语测试报名”服务中报名。4．理工类专业平均学分绩点低于3.2，其他专业平均学分绩点低于3.4的一般类别学生申请者，需提交以下材料：（1）三位专家的推荐书（教务处网站下载推荐书）；（2）获奖或参与项目的证明原件；（3）发表的论文以及相关杂志或书刊封面的复印件。每个申请者的材料分装一袋（注明院系和学生姓名），推免工作结束后，材料全部返回院系退回给申请者。5.按照教育部推免工作相关文件精神，各院系应对申请推免学生科研能力项目中提交且纳入科研能力测评范围的科研创新成果、论文、竞赛获奖等内容进行严格审核，及时排除抄袭、造假、冒名及有名无实等情况，如发现有学术不端行为，经认定后取消学生的推免申请资格，并依据学校关于学生违纪处理的相关规定报学校相关部门处理。6.艺术特长生、支教生、退役学生及骨干计划的推免名额，由学校推免工作委员会根据学校的总体推免情况和名额分配情况择优确定，不占用下达给学院（系）的名额指标。7.艺术特长生、退役学生、支教生、骨干计划学生的推荐资格测评工作应在9月12日以前完成，明确排序，并于9月16日以前将经单位负责人签章后的名单自行制作表格（包括业务排序、姓名、学号、所在学院、专业、特长类型、平均学分绩点等内容）报送至教务处教务科（崇德楼东楼604）。“艺术特长生”和“退役学生”两类推荐类别的学生，如其在学院的综合测评成绩符合本学院（系）一般类别推免标准，其名额原则上占用学院（系）一般类别推免名额。如学生仍按照原申请类别申报，则不占用学院（系）一般类别推免名额，学生继续参加原有特殊类型推免类别排名。此种情况下，学生如因业务测评排名等原因不能按原有类别录取，后果自负。申请以“骨干计划”、“支教生”类别推免的学生，一经学生处、团委业务考核被列入预接收名单之内，则无论其在学院的综合测评成绩是否符合本学院（系）一般类别的推免标准，均不得更改推荐生类别。如经学生处、团委业务考核未被列入预接收名单之内，但其在学院的综合测评成绩符合本学院（系）推免标准的，经学生本人申请，学生所在院系批准后，由教务处负责将其推荐类别从原有类别改为“一般类别”，学生可继续参加学院排名。8.除学校《推免办法》规定的“学术拔尖人才支持计划”确定的学生推免资格外，其他各类推免工作一律按照学校统一部署的时间安排进行，提前确定的推免资格无效。9.根据2014年6月26日印发的学校推免工作小组会议纪要，鉴于国学实验班的专业特点和培养模式，国学专业学生原则上仅能推免至本专业或文史哲相关专业学习。10.关于《中国人民大学优秀应届本科毕业生免试攻读研究生推荐工作实施办法》（修订）的补充规定自2018年6月12日起公布实施，原推免工作实施办法中有与补充规定相冲突的政策，以补充规定为准。联系人：徐老师联系方式：010-62511055教务处2020年8月3日
2020-07-21,教务处,http://jiaowu.ruc.edu.cn/jxyx/tzgg/033516faa66143998e9e7932d9287313.htm,关于2020-2021学年秋季学期本科生选课的通知,各院系同学：本学期在各院系及相关部门的共同努力下，新版学生选课系统已建设完成并将上线运行。新版学生选课系统是我校本科教学管理一体化信息服务平台的一部分，一体化信息服务平台面向学生的其他功能模块也将于2020-2021学年秋季学期陆续上线运行。按照2020-2021学年秋季学期本科生选课工作计划，学生选课将于7月23日正式开始，本次选课将在新版选课系统中进行，为了更好的完成本次选课，在选课通知正文开始前给同学们做以下几点提示：，请同学们认真阅读以下通知内容，合理安排选课计划，按时选课。关于退课：所有选课期间均可以退课，第三阶段试听选课结束后，退课时间将延长至9月25日（星期五）17:00，退课结束后请学生本人务必再次确认选课结果。原典选读类，通识教育大讲堂，公共艺术教育，跨学科专业选修（含荣誉辅修课程），发展指导，部分学院专业必修和专业选修课，以及留学生汉语类课程。大学外语、公共数学、公共计算机、大学体育、通识核心课，公共艺术教育，跨学科专业选修（含荣誉辅修课程），发展指导，部分学院部类共同、部类基础、专业核心课和个性化选修课，以及留学生汉语类课程。大学外语课请同学们按照以下安排选择自己对应级别的课程：入学级别为大学英语A级和B级的同学应在大学外语中选择《英语演讲》一门课程（周二或周五）。入学级别为大学英语实验班的同学应在大学外语中选择一门第二外语课程。艺术学院同学的大学外语课程由外国语学院统一导入，不需要学生自行选课。大学体育选课年级为2019级，因身体原因不适合选修常规体育课的同学请选修《养生》课程，如未选上养生课程班，可以在开学初通过“补修”阶段选课，并持校医院开具的相关证明上课。体育课选课如有问题请向体育部冯老师咨询。部分院系学科基础、专业必修、专业选修、部类基础、部类共同、专业核心、个性化选修类课程需学生自行在网上选课，具体选课情况请同学们向本院系教务秘书咨询。全校各院系学科基础、专业必修、专业选修、部类基础、部类共同、专业核心、个性化选修等专业课程将继续按照一定比例面向全校各年级学生开放，学生可在选课系统“跨学科专业选修-双选认证课程”类别中选择各院系开放的课程，所选课程2017级和2018级学生计入主修方案中“跨学科专业选修”类别学分、2019级学生依据培养方案计入相应课程类别学分，同时也可作为学生申请副修认证的学分；也可从“跨学科专业选修-非双选认证课程”类别中选择跨学科选修课程群中的课程，所选课程2017级和2018级学生计入主修方案中“跨学科专业选修”类别学分、2019级学生依据培养方案计入相应课程类别学分。自2019-2020秋季学期起，跨学科专业选修课程新设荣誉辅修项目模块，课程类项目课程面向全校开放，研究类项目课程在选课筛选阶段优先入选项目学生选课，筛选后空余名额面向其他学生开放。其他全校指导选修课。2017、2018级的学生从通识教育大讲堂、原典选读类、公共艺术教育和发展指导等类别中选择相应的课程。2019级学生从通识核心课、公共艺术教育和发展指导等类别中选择相应的课程。各学院学生应在四年内完成教学方案中规定的各类课程及总学分的最低学分要求，详细学分要求请查看各专业培养方案或向本学院教务秘书咨询。特殊情况补选课仅限于因出国交流、转专业、休学、缓考、结业换证以及以往学期未在规定时间内选课而必须在本学期补选的学生选课。学生登录微人大http://jw.ruc.edu.cn/secService/oauthlogin?routes=/student/student-choice-center/为缓解选课高峰期间的系统压力，增加选课通道，同学们也可直接登录新版选课系统，新版选课系统网址为：为方便学生使用新版选课系统，熟悉选课相关操作，请同学们在选课前详细阅读选课操作指南（附件3）。学生在选课期间如遇问题请及时向本学院教务秘书反映（各院系教务秘书联系方式见附件1、2），为提高问题解决效率，对于共性的问题建议由各班班长或学习委员统一向院系反馈。选课期间教务处将组建选课保障团队，学生如有问题也可以直接与教务处联系。教务处选课问题联系方式：联系电话：010-62513533，156-3136-8708电子邮件：选课系统技术问题支持1：吴俊毅176-7360-5012选课系统技术问题支持2：谢松均137-8705-1159附件1：附件2：各院系教务秘书联系电话（登录微人大后点击查看）附件3：（文字版）选课系统操作指南（视频版）教务处2020年7月21日
2020-07-15,教务处,http://jiaowu.ruc.edu.cn/sjjx/tzgg1/f492e1a139874ece945326a6d72249dc.htm,关于公布中国人民大学大学生创业训练计划2020项目立项评审结果的公示,各学院（系）、各项目负责人：经评审专家评定，“JADESIGN玉·艺有限责任公司”等20项入选中国人民大学大学生创业训练计划2020创业训练项目，BeatGo——基于大数据技术的音乐版权交易平台、畅识教育获得创业实践项目，项目立项信息详见附件。现对项目立项结果进行公示，公示时间为2020年7月15日——7月17日，公示期内如有异议请实名向中国人民大学大学生创业训练计划项目管理办公室反映。联系人：蔡老师电话：010-62514010邮箱：dachuangxunlian@163.com特此通知。附件：教务处文化科技园2020年07月15日
2020-07-14,教务处,http://jiaowu.ruc.edu.cn/jxdt6/0026a428b0524687a65691c09cdbcf35.htm,中国人民大学语言文字工作委员会2019-2020学年第一次会议召开,
2020-07-11,教务处,http://jiaowu.ruc.edu.cn/jxyx/tzgg/edd9c766e61145e5b5176dc385b2d7e5.htm,关于2020年度本科生转专业情况的公示,根据年度本科生转专业工作安排，经学生本人申请、所在学院（系）批准、接收学院（系）考核及学校教务处审核，拟通过名学生的转专业申请，现将名单公示如下，公示时间年月日—年月日，公示期内如有异议请实名向教务处教务科反映。联系人：徐老师电话：邮箱：。附件：附件：教务处2020年月日
2020-07-11,教务处,http://jiaowu.ruc.edu.cn/sjjx/tzgg1/8ac80edf8ac6421da17340be0677be89.htm,关于2020年“大学生创新实验计划”和“本科生科学研究基金”项目立项结果的公示,各学院（系）、各项目负责人：按照我校2020年“大学生创新实验计划”和“本科生科学研究基金”项目立项工作安排，经学生申报、院系评审及学校综合评定，确定《为土地流转“保”驾护航:土地流转履约保证保险实施效应研究——基于四川省邛崃市的实地调研》等60项国家级大学生创新实验计划项目，《金融科技助力中小微企业融资的机制成效分析及推广——以网商银行助力安徽宿松县中小微企业为例》等120项北京市级大学生创新实验计划项目，《网络互助对我国医疗保障体系的补充性效果探究——基于相互宝、e互助、水滴互助的研究》等60项校级大学生创新实验计划项目，以及40项本科生科学研究基金项目，详细项目名单见附件。现对项目立项结果进行公示，公示时间为2020年7月12日——7月14日，公示期内如有异议请实名向中国人民大学大学生创新实验计划项目管理办公室反映。联系人：刘老师电话：62511357邮箱：jwc.sjk@ruc.edu.cn附件1：附件2：教务处2020年7月11日
2020-06-30,教务处,http://jiaowu.ruc.edu.cn/jxyx/tzgg/c8e1e05015044d4db5fb8c577461d5ea.htm,关于2020-2021学年秋季学期本科生选课的预通知,各院系同学：为加快我校本科教学信息化建设进程，为师生提供更便捷、高效的教学管理服务，从2020-2021学年秋季学期开始，本科教学管理一体化信息服务平台各功能模块将分批上线运行，2020-2021学年秋季学期学生选课将在新系统中进行。按照2019级跨院系大类招生专业分流工作安排，本学期期末考试结束后，人文科学试验班、理科试验班、社会科学试验班（管理科学类）、经济学类4个跨院系大类将进行学生专业分流，专业分流后学生按照所选专业进行选课学习。2020-2021学年秋季学期学生选课也将在专业分流工作结束后进行，计划选课开始时间为7月22日，详细选课通知及要求届时将通过教务处网站和微信公众号发布。目前正值期末考试，请同学们合理安排备考复习，认真做好疫情防控期间的个人防护，预祝同学们期末取得优异的成绩。联系人：黄老师、徐老师联系电话及邮件：62513533教务处2020年6月30日
2020-06-30,教务处,http://jiaowu.ruc.edu.cn/jxyx/tzgg/74fbe3562be4453c9012eac38576a693.htm,关于2019级学生大类培养专业分流工作的通知,各院系：按照“宽口径、厚基础、遵从兴趣、自主发展”的人才培养理念，2019级本科部分专业按照人文科学试验班、理科试验班、社会科学试验班（管理科学类）、经济学类4个跨院系大类招生培养，其他专业延续以前按专业、专业类或学院大类方式招生培养，现就2019级学生专业分流工作通知如下：1.按专业类或按学院大类招生的，其专业分流方式和分流时间由学院自主确定和实施，学院应充分尊重学生兴趣，鼓励学院实施无时点的分流模式。计划在本学期期末完成专业分流的院系应在7月17日前完成专业分流工作，并将分流结果报教务处备案和学生处调整专业信息。2.人文科学试验班、理科试验班、社会科学试验班（管理科学类）、经济学类4个跨院系大类的专业分流，按照学校《2019级跨院系招生专业分流方案》，2019级学生在第一学年结束后进行基本分流，即学生根据自己兴趣分流至具体专业所在院系学习。院系应充分尊重学生兴趣和志愿，并对学生做好分流指导。3.跨院系大类基本分流由学生在微人大中提出申请，申请从第一学年管理和学习的院系分流至其他院系的学生，须在7月12日前在微人大“跨院系大类基本分流”服务中选择计划学习专业所在的院系，选择继续在原院系学习的学生不需要在系统填报申请，未填写分流申请的学生，系统默认其选择继续留在原院系学习。7月13日，教务处将跨院系分流数据发送至各院系，完成大类基本分流工作。4.跨院系大类完成基本分流后，各院系内部专业分流方式和时间由学院自主确定和实施，院系应充分尊重学生兴趣，鼓励院系实施无时点的分流模式。计划在本学期期末分流至具体专业的院系，应在7月17日前完成专业分流，并将分流结果报教务处备案和学生处调整学籍信息。各院系应将大类基本分流和学院内部专业分流的政策和工作安排通知到每一位学生，并提供线上咨询服务，班主任和新生导师应积极做好学生分流指导工作，确保与学生沟通及时、渠道畅通，平稳、有序开展大类分流工作。联系人：教务科徐老师62511055jwc.jwk@ruc.edu.cn信息科黄老师62513533jwc.xxk@ruc.edu.cn附件：教务处2020630
2020-06-27,教务处,http://jiaowu.ruc.edu.cn/sjjx/tzgg1/ce5e0752a4bd45baa914f7118c41d6b6.htm,关于中国人民大学2020届优秀本科毕业论文（设计）及优秀指导教师名单的公示,务处于2020年5月—6月开展2020届优秀本科毕业论文（设计）及优秀指导教师的评选工作。本着公正、公开、科学、规范的评选原则，经学院推荐，专家组投票评审，最终评选出《宏观经济信息对企业外汇风险暴露的影响——基于中国A股上市公司的实证研究》等一等奖优秀论文77篇，《转让定价与企业避税——基于1999—2015年中国上市公司关联交易数据》等二等奖优秀论文80篇，何青等优秀指导教师77人。现予以公示，公示期为2020年6月27日－6月29日。若有异议，请在公示期内向教务处教学实践科反映。电话：62511357邮件：jwc.sjk@ruc.edu.cn教务处2020年6月27日附件：1：2：
2020-06-24,教务处,http://jiaowu.ruc.edu.cn/sjjx/tzgg1/4c8cff3f5aad476a8fc91abac43d49bd.htm,关于中国人民大学大学生创新实验计划、本科生科学研究基金2019项目结项评审结果的公示（第一批）,各院（系）及2019项目负责人：邮箱：教务处附件：
