datetime,source,url,title,content
2020-08-19,青年网,http://youth.ruc.edu.cn/xwsd/9e71063bb8e944bba3adda4c1402afe0.htm,新华社报道人大学子参与垃圾分类社区志愿服务专项行动,中国人民大学暑期组织动员871名在京大学生组建志愿者团队，向基层社区报到，让“志愿蓝”在绿色北京建设中展现青春风采。新华社客户端全网推送并专题报道人大学子开展社区垃圾分类志愿服务的情况，浏览量已达16万+。“阿姨您好，您袋子里装的废旧电池属于有害垃圾，需要分类投放在红色的垃圾桶里。”8月10日，家住北京市青龙桥街道林科院社区的朱弋天，一大早就身穿蓝色志愿者马甲来到社区担任“桶前值守”志愿者。她是中国人民大学公共管理学院2019级本科生，作为土生土长的北京人，这个夏天对于他和家门口的社区而言尤为特别。人大志愿者协助社区工作人员参与垃圾分类回收工作今年5月1日起，北京正式施行新修订的《北京市生活垃圾管理条例》，垃圾分类就成了疫情防控常态化下一项涉及千家万户的民生工程。从暑假起，中国人民大学积极响应团市委开展“桶前值守”“文明倡议”“智献社区”的号召，组织动员871名在京大学生组建志愿者团队，向基层社区报到，让“志愿蓝”在绿色北京建设中展现青春风采。人大志愿者正在协助社区居民进行垃圾分类“校园就是家园”，让绿色滋润人心“人大社区里老年人居多，仅靠网络宣传和展板介绍很难将垃圾分类的详细标准和具体办法传递到居民心里，我们暑期留校学生组成了‘桶前值守’服务队，用‘讲给你听’的方式，来帮助社区居民养成绿色新风尚。”陈诚是人民大学经济学院2018级的博士研究生，参与垃圾分类志愿服务活动让这个特殊的假期充实而富有意义。人大志愿者正在进行垃圾桶站清洁暑假期间，人民大学青年志愿者协会与人大社区居委会联合推出“校园就是家园”志愿服务项目，组织暑期在校学生走进人大社区，开展社区垃圾分类志愿服务活动。疫情联防联控的宝贵经验为“校园-社区”联动打下了良好基础，青年志愿者协会与人大社区合作，根据社区站点分布、分类工作难点设定暑期服务岗位，迅速组织开展志愿者报名、岗位匹配和岗前培训工作，学校还为志愿者配发了消毒洗手液、口罩、遮阳伞、马扎等防疫防暑物资，保证志愿者在健康安全的环境下开展服务工作。志愿者们化身“分类指导员”，通过开展轮班值守、定向宣传、生活帮扶等服务活动，有效弥补了基层社区工作力量短缺的问题。人大志愿者为社区居民讲解各类垃圾划分标准“向社区报到”，做“绿色革命”的行动派“桶前值守”不仅在校内集中发力，校外也是多点开花。在京的人大学子积极响应号召，主动向社区报到，发挥自身专业特长和知识优势开展多种形式的志愿服务工作。“能让街坊邻里多看一眼宣传海报，就能在大家心里多埋下一颗绿色的种子。”艺术设计专业的张欢雨家住石景山区海特花园第三社区，在开展桶前值守服务的同时，发挥自身平面设计方面的专业特长，为社区设计了垃圾分类知识普及宣传海报，她想用自己的笔为大家画出一份绿色的倡议。人大志愿者对垃圾进行分类投放志愿服务不仅能够帮助社区居民养成绿色新风尚，对参与志愿服务的同学们也是一次难忘的环保实践。在志愿者岗前培训的讨论会上，来自教育学院的张鹏飞向小组成员分享了自己的培训感悟，“包裹厨余垃圾的塑料袋需要跟厨余垃圾分开投放，我自己在生活中就经常忽视这个要点，参加培训后我才发现垃圾分类确实是一件知易行难的事情”。育人者先育己，在帮助社区居民将“随手扔”变成“随手分”的同时，同学们也从垃圾分类的宣传员成长为了绿色革命的行动派。人大志愿者正在为社区居民讲解垃圾分类知识发挥知识优势、服务基层治理是新时代社会发展为大学生志愿者设定的必答题。环境与资源管理专业的徐术家住房山区阎村镇，在看到学校发出的“向社区报到”的号召后，他第一时间与社区居委会联系，结合自身专业特长对社区各类垃圾回收容器的比例设置、垃圾回收运输的具体方法等提出了优化建议。他表示，“参与到社区垃圾分类工作的实践之中，我才深刻的理解垃圾分类不仅仅是一项‘民生工程’，更是一项复杂的社会系统工程，需要政府、居民、物业、企业等利益相关方深度协同，是对基层社区治理能力全方位的考验”。“把思政课开在一线”，让生态文明理念在京华大地落地生根“参与垃圾分类志愿服务是帮助学生更好理解习近平总书记生态文明思想的生动课堂，是引导师生践行绿色生活方式、认同绿色发展方式、建设绿色家园的重要举措。”中国人民大学副校长杜鹏表示，“我们引导学生深刻认识垃圾分类蕴含的‘社会文明’‘生态文明’价值，在推进首都城市治理的‘法治’‘精治’‘共治’中做贡献，让美好生活需要与新发展理念在身体力行的绿色行动中得到统一。”中国人民大学组织垃圾分类志愿服务线上培训课中国人民大学在组织开展垃圾分类志愿服务的同时，提出将“思政课开在服务一线”的实践教育理念，通过开设网络课程、共享讲座、线上沙龙等方式，组织志愿者与一线社区工作者对话、了解学科研究的前沿动态、理解政策背后的价值导向、解答实践当中的难点阻力，真正让绿色文明风尚成为生活常态，让生态文明理念在京华大地落地生根。
2020-08-17,青年网,http://youth.ruc.edu.cn/xwsd/90974cf226b844f1ac6570b292316b5f.htm,郑水泉副书记看望“千人百村”学生社会实践浙江杭州团队,8月15日，中国人民大学党委副书记郑水泉赴浙江省杭州市余杭区塘栖镇，看望慰问正在家乡开展“千人百村”社会调研活动的学生团队，并与当地干部群众深入交流。杭州团市委副书记李莲萍等参与调研。郑水泉一行来到塘栖镇丁山河村，看望正在农户家中调研的实践团队学生，并与学生一同开展访谈交流，了解农户家庭收支、人居环境、土地利用等情况。外国语学院2018级本科生沈嘉茜、洪欣语，马克思主义学院2019级本科生姜晟昱三名同学汇报了在丁山河村调研过程中的观察和感悟，并围绕经济发展、文化传承、农村教育等方面汇报了自己的思考与下一步研究方向。郑水泉代表学校向调研团队表示问候，他详细询问了同学们的调研计划和进展，并亲切地叮嘱同学们在调研中要注意防暑降温，确保安全。看望慰问期间，郑水泉与当地干部就美丽乡村建设、生态环境保护、历史文化传承、村域特色经济发展等问题深入交流。他感谢当地有关部门对学校“千人百村”社会实践活动提供的支持与帮助，并鼓励同学们强化问题意识，提高调研针对性和调研成果质量，为地方发展献计献策。环境学院、校团委有关负责同志陪同调研。
2020-08-15,青年网,http://youth.ruc.edu.cn/xwsd/02b6183288fa4b8c87b48fa8d8b5aeda.htm,靳诺书记一行看望“千人百村”学生社会实践青岛团队,8月14日，中国人民大学党委书记靳诺、副校长刘元春一行在山东省青岛市看望慰问正在当地开展“千人百村”社会实践活动的学生团队，并同当地干部群众深入交流。靳诺一行在黄岛区委副书记、区政协主席杨东亮，青岛团市委书记张海军等陪同下，来到青岛市东街村，和同学们一起走进农户武守权、惠廷君家中开展调研交流。靳诺详细询问了农户经济收入、土地流转、就医养老、子女教育等情况，农业与农村发展学院2018级博士研究生刘维哲、商学院2018级本科生杜昕然、信息学院2018级本科生张晓玲等三位同学围绕农村产业转型、集体经济发展、乡村文明建设等调研主题分享了自己的实践思考和感悟。靳诺代表学校向同学们扎实调研表示肯定，对当地干部群众给予“千人百村”社会实践的支持与帮助表示感谢。靳诺指出，“千人百村”活动是中国人民大学人才培养中的重要一环，旨在充分发挥实践育人功能，培养同学们扎根中国大地、研究中国问题的意识和能力，也是对同学们将来走上工作岗位承担重要职责、服务国计民生的宝贵积累。靳诺强调，今年是全面小康的决战决胜之年，同学们在实践中不仅要记录家乡的发展变化，更要深刻理解变化背后是党领导人民长期奋斗的壮阔历史，是中国特色社会主义制度优越性的落地生根。她勉励同学们在当前的实践调研和未来的学术研究中要坚持问题导向，虚心向基层干部群众请教，深刻体悟村情民意，系统梳理发展历史，真正理解“人民至上”的蕴意内涵，讲好“全面小康”中国故事。调研期间，当地负责同志介绍了东街村集体经济发展、基层党组织建设治理、乡风文明建设等方面的基本情况。学校科研处及校团委负责人陪同调研。
2020-08-13,青年网,http://youth.ruc.edu.cn/xwsd/ce8bb0d84554492fbca685cdf4245185.htm,吴付来副书记看望“千人百村”社会实践安徽合肥团队,8月12日，中国人民大学党委副书记、纪委书记吴付来赴安徽省合肥市肥西县上派镇三岗村，看望慰问正在家乡开展“千人百村”社会调研活动的学生团队，与学生一起走访农户，与当地干部群众深入交流。安徽团省委书记杨正、团省委副书记郑兰荣等参与调研。走入农户家中，吴付来深入了解村民的家庭收入、苗木经营、社会保障、子女教育等情况。新闻学院2018级本科生汪慧敏、陶心怡，国际关系学院2018级本科生成毅等三位同学分别围绕特色产业发展、乡风文明、乡村基层治理等方面汇报了调研感受。吴付来对地方有关部门和基层乡镇给予“千人百村”社会调研的大力支持表示感谢，并鼓励同学们再接再厉，在保障安全的前提下扎实完成调研任务。吴付来表示，人民大学是我们党创办的第一所新型正规大学，从延安陕北公学走来，始终与党和国家同呼吸、共命运。“千人百村”社会调研是学校人才培养体系的重要组成部分，为同学们提供了走出课堂、走进农村，接地气、长志气的机会。同学们应秉承学校“理论联系实际”的光荣传统和“实事求是”的校训精神，发挥学校的学科优势，把我们党重视调查研究的优良传统落到实处，在扎根乡土的社会实践中练就服务基层、服务人民的真本领，立足实际为国家和地方经济社会发展积极建言献策。调研期间，当地负责同志介绍了三岗村苗木特色产业发展、脱贫攻坚与乡村振兴等方面的基本情况。学校办公室、党委组织部、国家发展与改革研究院以及校团委有关负责人陪同调研。
2020-08-12,青年网,http://youth.ruc.edu.cn/xwsd/fb41eaea51ba442fa4c74f98687233cf.htm,中国人民大学自游人协会登山队成功登顶那玛峰,2020年8月6日上午，我校自游人协会登山队成功登顶那玛峰。那玛峰位于四川省甘孜藏族自治州康定县境内，为贡嘎山卫峰之一，海拔5588米。山顶部分为巨大的远古冰帽覆盖，是典型的技术型雪山。今年4月，经协会指导单位、学校体育部批准，在协会指导教师、体育部副主任王勇老师指导下，自游人协会正式启动那玛峰攀登计划。为确保活动得到有力安全保障，学校体育部、校团委积极邀请中国登山协会专家帮助团队制定详细实施方案及应急方案，并结合疫情防控要求转变训练模式，采取理论培训与技术培训相结合、居家训练与周末集训相结合、耐力训练与力量训练相结合的灵活方式，不断增强登山队员素质。8月3日，登山队正式向那玛峰发起冲击。受暴雨影响，队员们不仅需要处理高原反应症状，还要面对碎石陡坡、湍急水流、泥泞山路和冰雪路段的挑战。登山队在王勇老师指导下，严格按照安全第一原则，积极审慎推进攀峰行动。在充分的前期准备、专业的过程处理和全体队员的相互支持下，登山队克服种种困难，充分发扬“不畏艰险、顽强拼搏、团结协作、勇攀高峰”精神，最终实现9人成功登顶的好成绩。自游人协会是我校具有代表性的学生社团，主要开展登山、攀岩、科考等户外实践活动。2004年自游人协会成立登山队，迄今已组织200余人先后26次成功攀登玉珠峰、唐拉昂曲峰、桑丹康桑峰、卡鲁雄峰等19座高海拔雪山，累计培养70余名国家级登山运动员。今年是中国人民大学命名组建70周年。自游人协会以此次那玛峰攀登行动彰显的攀登精神向学校献礼，充分展现“国民表率，社会栋梁”的青春风貌，彰显“始终奋进在时代前列”的不懈追求。登山队员名单：李金清劳动人事学院2017级本科生李言熙外国语学院2016级本科生盖天文财政金融学院2016级本科生肖纪文信息资源管理学院2016级本科生廖天嗣学生骨干计划五期成员张艺公共管理学院2018级本科生杨浩天马克思主义学院2019级研究生张帆法学院2018级研究生涂海洋信息学院2018级本科生程理数学学院2019级研究生刘昊辰历史学院2017级研究生
2020-08-11,青年网,http://youth.ruc.edu.cn/xwsd/7562d170b33e44398e30100eb9e21e5a.htm,朱信凯副校长看望“千人百村”学生社会实践河南鹤壁团队,8月5日，中国人民大学副校长朱信凯赴河南省鹤壁市淇滨区大赉店镇田辛庄村调研，看望慰问正在当地开展“千人百村”社会实践活动的学生团队。鹤壁市委副书记、市长郭浩，副市长常英敏、孙栋，市政府秘书长王强等陪同调研。朱信凯先后来到农户李精恩、李东学家中，了解农业种植、土地流转、清洁能源改造等情况。朱信凯代表学校向给予“千人百村”社会调研活动大力支持和帮助的当地政府表示感谢，向参加调研活动的同学表示关心与问候。财政金融学院2018级本科生史艺凡、李炜洁、公共管理学院2018级本科生李鑫等3名同学汇报了调研进展和收获，并结合各自专业分享了对调研主题的认识和思考。朱信凯指出，“千人百村”社会实践是学校创新人才培养的重要载体，重在引导同学们走进农村、亲近农民，在实践调研中发现问题、思考问题，在社会生活的第一线锤炼过硬本领、体悟家国情怀。他勉励同学们要珍惜参加“千人百村”等实践调研活动的机会，发扬和践行“理论联系实际”的光荣传统，培养贴近群众、贴近基层的朴素情怀，始终牢记人大人的初心和使命，用努力奋斗践行实干担当。调研期间，鹤壁市有关负责同志介绍了当地特色产业发展和基础设施建设等方面的情况，朱信凯还就村民家庭收入、子女教育等问题与当地干部群众进行了交流。学校办公室、农业与农村发展学院、高瓴人工智能学院、校团委相关负责同志陪同调研。
2020-08-07,青年网,http://youth.ruc.edu.cn/xwsd/c7fa1aa068bf44e1a2cf4e955875d8d5.htm,齐鹏飞副书记看望“千人百村”学生社会实践呼和浩特团队,8月4日，中国人民大学党委副书记齐鹏飞赴内蒙古自治区呼和浩特市土默特左旗塔布赛乡调研，看望慰问正在当地开展“千人百村”社会实践活动的学生团队。土默特左旗旗委书记成红亮、呼和浩特团市委副书记（主持工作）云柯、土默特左旗旗委常委、组织部长吕文平等陪同调研。在塔布赛乡乃莫板村，齐鹏飞先后来到农户李四格、崔荣亮家中，向扶贫干部了解当地经济状况、扶贫政策、贫困人口、产业发展等情况，询问农户家庭收入、就医养老、土地流转以及子女教育等有关问题。齐鹏飞代表学校对当地政府给予“千人百村”社会调研的大力支持表示感谢，对实践团队成员表达了关心和问候，同时叮嘱实地调研的同学们要服从当地疫情防控要求，确保安全第一。商学院2020级研究生王正、国际关系学院2018级本科生贾林龙、公共管理学院2019级本科生王雅楠等汇报了入村以来走访农户、村委会的见闻体会，对于精准扶贫、乡村振兴战略在基层一线的具体行动和政策衔接提出了自己的认识和思考。土默特左旗塔布赛乡塔布赛村，是乌兰夫同志的故乡。齐鹏飞一行和学生实践团队来到乌兰夫故居，重温红色故事，缅怀革命先烈。齐鹏飞表示，乌兰夫同志为祖国的解放和统一不断奋斗的一生，为社会主义现代化建设和改革开放事业不断奉献的一生，为各民族的平等、团结和共同繁荣不断追求的一生，是党史、新中国史、改革开放史、社会主义发展史的生动缩影，红色文化是土默川大地的宝贵资源，同人大的红色底蕴一样，我们要在红色基因的代代相传中不忘初心、牢记使命。调研期间，当地负责同志介绍了精准扶贫、民生保障、环境治理、红色教育、旅游产业等方面情况，齐鹏飞就乡村振兴、特色农业发展、红色文化挖掘等问题与基层干部群众进行了交流。校团委负责人陪同调研。
2020-07-27,青年网,http://youth.ruc.edu.cn/xwsd/59e2dd7fe24a48d3b1972d7701b16348.htm,刘伟校长看望“千人百村”社会实践团队,7月25日，中国人民大学校长刘伟到海口市秀英区石山镇美富村调研，看望慰问正在家乡开展“千人百村”社会实践活动的学生团队，与学生一起走访农户，与当地干部群众深入交流。刘伟和学生们一同走进农户钟锦德家中开展交流访谈，了解农户家庭收入、土地流转、子女教育等情况。刘伟代表学校向同学们表达了关心和问候，详细询问了调研期间的安全保障情况。他对同学们能够在家乡认真扎实开展调研表示肯定，同时强调疫情期间要在保障自身安全的前提下进行调研。财政金融学院2017级本科生陈朋、2018级本科生符禧双、法学院2019级本科生李金林等3名同学汇报了调研基本情况和心得体会，并围绕乡村基层治理、土地资源利用、乡村振兴战略等问题报告了认识与思考。刘伟表示，学校连续多年开展“千人百村”社会调研活动，就是要树立起鲜明的基层导向，引导同学们了解农业、走进农村、亲近农民，牢固树立拜群众为师、向实践取经、向基层学习的意识，增强学生扎根中国大地、研究中国问题的学术自觉。他勉励同学们要继承和发扬“理论联系实际”的优良传统，不断深化对“三农”问题的理性思考，努力做到学有所思、学有所获、学有所用，在脱贫攻坚的主战场体验新时代的巨大变化，贡献服务国家战略和地方发展的人大力量。刘伟强调，疫情防控还未结束，今年的“千人百村”项目以属地调研为基本模式，同学们在进行社会调研的过程中要特别注意安全，保持与学校安全联络团队的紧密对接。调研期间，美富村村长钟文学等介绍了本村经济社会发展、生活条件与社会保障等方面的基本情况。刘伟就农村土地征改、脱贫攻坚等问题与村镇干部群众进行了交流，并与学生团队前往当地“美丽乡村”建设成果展览室、石斛生产基地调研脱贫攻坚与乡村振兴情况。校团委负责人陪同调研。
2020-07-20,青年网,http://youth.ruc.edu.cn/xwsd/08087971af914e2c92ae7ee712258400.htm,我校在北京高校“使命在肩，奋斗有我”主题教育活动推进会暨暑期师生社会实践动员部署会上作交流发言,"7月17日，北京高校“使命在肩，奋斗有我”主题教育活动推进会暨暑期师生社会实践动员部署会在北京会议中心召开。国务院扶贫办政策法规司二级巡视员毕国强、市委教育工委常务副书记郑吉春、市委信息综合室主任庞学栋，朱信凯副校长及各高校主管校领导、师生代表参加会议。市委教育工委副书记狄涛主持会议。会上，郑吉春宣读了《关于对高校师生志愿者参与首都疫情防控工作给予通报表扬的决定》，并为“在京大学生到社区报到志愿服务队”代表授旗。我校志愿者李浩作为首都高校志愿者代表上台接旗。会议发布了2020年北京高校师生服务首都“四个中心”功能建设“双百行动计划”，同时启动“首都高校师生脱贫攻坚主题社会实践调研成果征集活动”。按照市委教育工委安排,校团委负责人以“用双脚丈量全面小康之路”为主题作大会交流发言，介绍我校“千人百村”社会调研的实施情况。他表示，学校聚焦“谁来实践”、“在哪实践”、“如何实践”，组建全员育人的“复合型”团队，打造全过程育人的“立体化”课堂，实现全方位育人的“浸入式”体验，通过内化的思政引领与体验式的知识教育相结合、动态的理论教学与开放实验的方法教学相结合，引导同学们描摹实现第一个百年目标的壮阔图景，在行走中真正理解“志不求易者成，事不避难者进”的道理，把祖国的小康之路写进自己的人生之路，让青春在党和人民最需要的地方绽放绚丽之花。今年暑假，校团委将启动以“全面小康新跨越，美好生活新起点”为主题、紧密结合“四史”教育的2020年“千人百村”社会调研活动，根据新冠疫情防控要求，按照“中高风险地区不参与、低风险地区省内就近组队、入院不入户开展访谈、全程跟进学生健康情况”等原则组织实施,允许学生开展线上调研。目前校团委已建立24小时信息预警与应急协调机制，“一对一”跟踪调研团队，确保调研活动安全有序。"
2020-07-17,青年网,http://youth.ruc.edu.cn/xwsd/0375fe893d754ab0a411c81a22b7b7e0.htm,团市委书记李军会调研中国人民大学共青团工作,7月16日上午，北京团市委书记李军会一行到中国人民大学调研高校共青团工作。中国人民大学党委书记靳诺、校长刘伟会见李军会一行。团市委副书记毛晓刚，校党委副书记郑水泉、副校长朱信凯等参加调研活动。靳诺、刘伟对李军会一行表示欢迎，对北京团市委长期以来给予人大共青团工作的关心和支持表示感谢。靳诺表示，人大共青团工作具有光荣传统，在学校思想政治工作、人才培养过程中发挥着积极作用。尤其是去年以来在服务保障国庆70周年重大活动、参与校园疫情防控及毕业生专项帮扶等重点工作中连续作战，发挥了先锋突击队作用。希望在团市委的指导下，人大共青团坚持首善标准、彰显首都特色，进一步完善工作格局、优化运行机制，更好发挥共青团为党育人的重要职能。李军会感谢学校对共青团工作的高度重视，充分肯定人大共青团在政治引领、组织动员、联系服务等方面取得的成绩，尤其是近年来大力建设“新时代中国青年发展研究中心”、深入实施“千人百村”社会实践、广泛开展形式多样的主题教育品牌活动，获得显著成效。他希望人大共青团继续发挥立足岗位干在前、急难险重冲在前、服务学生挺在前的良好作风，以锐意进取的奋斗姿态不断开拓工作新局面。李军会实地走访了北京高校思想政治理论课高精尖创新中心，了解中国人民大学积极探索思政课线上教学新模式，推动疫情防控融入思政课教学，以及共青团系统推进实践育人与课程育人有机结合，创新开展“问道新时代”思政实践课、“走近三农”实践通识课等有关情况。在知行宿舍楼区的“毕业寄”服务站，李军会看望慰问参与毕业生行李打包等专项工作的师生代表，同现场正在直播行李寄送的经济学院毕业生视频连线。他表示，学校用心用情打造暖心“毕业寄”，以“小行李”联结了校园“最后一公里”的师生情谊，既给毕业生带来难忘的毕业记忆，同时又以实际行动为同学们上了一堂生动的育人思政课。座谈会上，朱信凯介绍了学校围绕立德树人根本任务，落实中央党的群团工作会议精神，突出政治性、先进性、群众性要求，加强和改进学校共青团工作的思路和举措。他表示，当前青年学生呈现出许多新特点，特别是突如其来的新冠肺炎疫情给团学工作带来前所未有的挑战。人大共青团将在团市委指导下，不断适应新形势、破解新问题，更好地引导青年听党话、跟党走，使团的工作成为党执政基础的重要支撑。校团委负责人杨子强以“数字”“思路”“挑战”为关键词介绍了举旗帜、铺地基、刷底色、搭桥梁、走大道“五位一体”的团学工作格局，并结合学生会组织与学生社团工作汇报了重点领域改革进展。参与疫情防控志愿服务学生代表、艺术学院2017级硕士研究生范名简，“西部计划”支教学生代表、劳动人事学院2018级硕士研究生徐贵荣，参与社会实践学生代表、校团委兼职副书记、公共管理学院2019级博士研究生孙琳，参与毕业生服务工作的基层团干部代表、商学院分团委书记张煦昀等先后发言。李军会就加强首都高校共青团工作提出三点要求。一是教育引导要入心入脑，必须用习近平新时代中国特色社会主义思想凝心聚魂，坚持以理想信念教育为核心，以社会主义核心价值观为引领，在“大思政”工作格局中找准工作对象特点、创新教育引导方法、把握教育引导时机。二是服务学生要用心用情，必须牢固树立以学生为中心的理念，精准把握需求、坚定服务初心、主动谋划行动，努力提升服务精细化水平。三是团学活动要有声有色，必须发挥高校共青团“以文化人”重要优势，坚持“因事而化、因时而进、因势而新”，用更加丰富的育人平台和文化产品，有效提升团的组织力、引领力、服务力。北京团市委办公室主任孙力强、研究室主任王磊、办公室副主任宿东泽，大学中专部副部长徐洪业、孟宪博等参加调研。北京高校思想政治理论课高精尖创新中心副主任、马克思主义学院副院长、教授宋学勤，中心副主任、马克思主义学院教授何虎生，中心主任助理、青年骨干教师欧阳奇、王衡，经济学院党委副书记李佩洁，校团委副书记李晰、边策等参加活动。
